tipo,nombre,ruta,estado,notas
fuente,Informe Mensual M.MUNIZAGA.xlsx,"C:\\Users\\josej\\OneDrive\\002 SIMTEXX\\000_Control de Porcesos\\004_Informe M.Munizaga\\Informe Mensual M.MUNIZAGA.xlsx",detectado,Excel operativo
fuente,Informe Enero 2026_M.MUNIZAGA.pbix,"C:\\Users\\josej\\OneDrive\\002 SIMTEXX\\000_Control de Porcesos\\004_Informe M.Munizaga\\Informe Enero 2026_M.MUNIZAGA.pbix",detectado,Power BI por revisar
