tipo,fecha,origen,id_ref,titulo,version,estado,ruta,hash,observaciones
doc,2026-02-22,onedrive,Estandar de embalaje,Estandar de embalaje.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\Estandar de embalaje.pdf,065f5f0ce7756e8ea40c420a44ec1efb78b21acfd81b306840a5063f96610b68,pages=5; extract=ok
doc,2026-02-22,onedrive,Estandar estiba y transporte de carga en faena,Estandar estiba y transporte de carga en faena.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\Estandar estiba y transporte de carga en faena.pdf,902ce3b604240437a625b29353b3ee68774a299a1639ecbf2d8e67674911047a,pages=64; extract=ok
doc,2026-02-22,onedrive,Instructivo de entregas físicas y documental Mintral 2023 V5,Instructivo de entregas físicas y documental Mintral 2023 V5.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\Instructivo de entregas físicas y documental Mintral 2023 V5.pdf,9a31ea58861486437a78b68d95e59ad7d7f6de447c60417bd9125f16ba627160,pages=32; extract=ok
doc,2026-02-22,onedrive,MAM-HSE-STD-204 Estandar de Vehiculos de Transporte de Carga-V1,MAM-HSE-STD-204 Estandar de Vehiculos de Transporte de Carga-V1.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\MAM-HSE-STD-204 Estandar de Vehiculos de Transporte de Carga-V1.pdf,0e4651064a8a0df218f343a0e9f3d807e3eba185eac25b6ddf6a0c561804903b,pages=9; extract=ok
doc,2026-02-22,onedrive,MAM-PRJ00-TD-GDL-00025_Requisitos de Calidad para Proveedores,MAM-PRJ00-TD-GDL-00025_Requisitos de Calidad para Proveedores.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\MAM-PRJ00-TD-GDL-00025_Requisitos de Calidad para Proveedores.pdf,dd99622eba63bbf45771da1e6fc26b4ee840ec2ff0842d9f232ba79b38271acd,pages=10; extract=ok
doc,2026-02-22,onedrive,MAM-PRJ00-TD-OTH-00002 Condiciones del Sitio PN Rev0,MAM-PRJ00-TD-OTH-00002 Condiciones del Sitio PN Rev0.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\MAM-PRJ00-TD-OTH-00002 Condiciones del Sitio PN Rev0.pdf,ea559e162770bcb30cb498344334304d76f5123d1a8071afb5fa198902145128,pages=12; extract=ok
doc,2026-02-22,onedrive,SPENCE R-HSEC-HS-002 Reglamento de seguridad especial para empresas contratistas y subcontratistas_v5_2025,SPENCE R-HSEC-HS-002 Reglamento de seguridad especial para empresas contratistas y subcontratistas_v5_2025.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\BBCC\Otros Estándares\SPENCE R-HSEC-HS-002 Reglamento de seguridad especial para empresas contratistas y subcontratistas_v5_2025.pdf,b943304daa7d13239a76e6888f0ad189d55ff8bfd69c8d3fca663f91b2f8bd38,pages=88; extract=ok
doc,2026-02-22,onedrive,PM_4519143302_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.A,PM_4519143302_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.A.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\CONTROL DE PROYECTO\PM_4519143302_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.A.pdf,f21f397473e654eb1960d8a146017e35472ff75e550d23b58716cc25faeb6909,pages=1; extract=ok
doc,2026-02-22,onedrive,SPC-2220-PS-PMS-011840,SPC-2220-PS-PMS-011840_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.B.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\CONTROL DE PROYECTO\SPC-2220-PS-PMS-011840_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.B.pdf,8d765a4ee79016effcf2d922c68c54412e41bb492202390ad01e328b0fc4fdab,pages=3; extract=ok
doc,2026-02-22,onedrive,Informe tecnico - Esbeltez de viga revB,Informe tecnico - Esbeltez de viga revB.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\Informe tecnico - Esbeltez de viga revB.pdf,23c07fa82233a6f29f77e7c775ed66986cab2643ac5aca2251b48ee6b6bb7b78,pages=12; extract=ok
doc,2026-02-22,onedrive,SPC-2220-CP-RFI-011840,SPC-2220-CP-RFI-011840.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\001\SPC-2220-CP-RFI-011840.pdf,61ff149539c8e3d1761409c3a313b8fa3235c9b45131fd14ce0d48658ceeb2fb,pages=2; extract=ok
doc,2026-02-22,onedrive,Informe tecnico - Esbeltez de viga revB,Informe tecnico - Esbeltez de viga revB.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\002\Informe tecnico - Esbeltez de viga revB.pdf,23c07fa82233a6f29f77e7c775ed66986cab2643ac5aca2251b48ee6b6bb7b78,pages=12; extract=ok
doc,2026-02-22,onedrive,SPC-2220-CP-RFI-011841,SPC-2220-CP-RFI-011841.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\002\SPC-2220-CP-RFI-011841.pdf,37d2977baf3d24e41cb62ed93fd79e754541f7ceab1581124c455e79655c7819,pages=13; extract=ok
doc,2026-02-22,onedrive,SPC-2220-CP-RFI-011842,SPC-2220-CP-RFI-011842.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\003\SPC-2220-CP-RFI-011842.pdf,8fdba3340a642f032bbac8994c97242e6be4f4054fff1b18f99c25ba2abb6330,pages=2; extract=ok
doc,2026-02-22,onedrive,SPC-2220-CP-RFI-011843-0,SPC-2220-CP-RFI-011843_0 1.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\004\SPC-2220-CP-RFI-011843_0 1.pdf,5509758edabf30b52d588179f1f8a750e9cec9e14e69975e983c98efcaf7c178,pages=1; extract=ok
doc,2026-02-22,onedrive,4519143302,4519143302.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\4519143302.pdf,bdea9c5bd7983a716b37e49558b29eb1cb9cda6d6c0e1f212e0c058a61504774,pages=4; extract=ok
doc,2026-02-22,onedrive,SPC-2220-ST-CAL-011840,SPC-2220-ST-CAL-011840_B.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SDI\SPC-2220-ST-CAL-011840_B.pdf,ff189d3480028e9875d373708edf56775c100a07059433441ce33edbad6f8949,pages=37; extract=ok
doc,2026-02-22,onedrive,SPC-2200-CP-RFI-002_REV 1,SPC-2200-CP-RFI-002_REV 1.pdf,,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\SPC-2200-CP-RFI-002_REV 1.pdf,9b8a18892dfdcafb2b6a5e56ab1ccef78e40122dcd0ac0313000007f21feae7d,pages=13; extract=ok
schedule,2026-02-22,onedrive,SPC-2220-PS-PMS-011840-REV-B-XER,SPC-2220-PS-PMS-011840_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.B.xer,Rev.B,activo,C:\Users\josej\OneDrive - SIMTEXX SPA\OPERACIONES - Documentos\004_ID 1425_Fabricación para Proyecto Agua Lavado Celdas\001_OT 1844\CONTROL DE PROYECTO\SPC-2220-PS-PMS-011840_Fabricación Bandejas Agua Lavado Celdas OT 1844_Rev.B.xer,bf7a9d73593add93e6c84824f1c39852b6983e18c96a039954031467fc78d92b,Archivo Primavera P6 XER para control de proyecto
