handle,profile,length_m,volume_m3,weight_kg
2FD,SOLID_GENERIC,1.3758,0.001356,10.642
2FE,SOLID_GENERIC,1.336,0.003673,28.83
2FF,SOLID_GENERIC,0.625,0.0012,9.42
302,SOLID_GENERIC,0.307,0.000589,4.627
305,SOLID_GENERIC,0.3606,0.000738,5.791
309,SOLID_GENERIC,0.306,0.000588,4.612
30A,SOLID_GENERIC,0.2022,0.000242,1.899
30B,SOLID_GENERIC,1.482,0.003777,29.652
30C,SOLID_GENERIC,0.17,0.000192,1.508
30D,SOLID_GENERIC,0.244,0.000364,2.854
30E,SOLID_GENERIC,0.307,0.000459,3.601
