block_name,count
ABRAZADERA BR,10
DESM,9
BR RADIAL,8
CONSOLA,7
HEX CONSOLA,7
Z1,6
Z2,6
Z3,6
BANDEJA EXT,6
BANDEJA INT,6
RAMAL PPR,6
FRP CEN,6
FRP INT,6
Z4,5
BR PERIMETRO,5
HEX BR PERIMETRO,5
FRP EXT,5
BRAZO2,3
CONSOLA 1_4,2
CONSOLA EXT,2
*U47,1
DISTRIBUIDOR,1
*U43,1
*U45,1
*U39,1
*U41,1
ESC ACCESO,1
BR ACCESO,1
HEX BR ACCESO,1
Z4 ACCESO,1
FRP EXT ACCESO,1
BR ESCALA,1
HEX BR ESCALA,1
