pbix,page,visual_index,visual_type,title,entities,query_refs
Informe M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta | LocalDateTable_aa1b7eeb-1159-414b-8d52-d81a148509f9,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
Informe Noviembre M.MUNIZAGA.pbix,Página 1,0,slicer,,FiltroTipo,FiltroTipo.Tipo
Informe Noviembre M.MUNIZAGA.pbix,Página 1,1,slicer,,TipoAtributoRelacion,TipoAtributoRelacion.Atributo
Informe Noviembre M.MUNIZAGA.pbix,Página 1,2,clusteredColumnChart,,001_Dat_Presupuesto | 002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes | Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor)
Informe Noviembre M.MUNIZAGA.pbix,Página 1,3,funnel,,001_Dat_Presupuesto | 002_Dat_Venta,Sum(001_Dat_Presupuesto.Valor) | Sum(002_Dat_Venta.Valor) | select
Informe Noviembre M.MUNIZAGA.pbix,Página 1,4,image,,,
Informe Noviembre M.MUNIZAGA.pbix,Página 1,5,textbox,,,
Informe Noviembre M.MUNIZAGA.pbix,Página 1,6,image,,,
Informe Noviembre M.MUNIZAGA.pbix,Página 1,7,slicer,,002_Dat_Venta,002_Dat_Venta.Fecha Contable.Variación.Jerarquía de fechas.Mes
Informe Noviembre M.MUNIZAGA.pbix,Página 2,0,image,,,
Informe Noviembre M.MUNIZAGA.pbix,Página 2,1,image,,,
Informe Noviembre M.MUNIZAGA.pbix,Página 2,2,textbox,,,
Informe Noviembre M.MUNIZAGA.pbix,Página 2,3,tableEx,,Indices_Financieros | Orde_de_Índice,Orde_de_Índice.NombreIndice | Sum(Indices_Financieros.Acumulado Actual (Y25)) | Sum(Indices_Financieros.Acumulado Anterior (Y24))
