Cod. Producto,Producto,Cod. U. Medida,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock Total Consolidado,Costo Unit.,Costo Total
IAB11007SS00,DISCO DE CORTE FINO  07in   ESPESOR 1.6 MM,UN,23.0,953.0,976.0,869.59,848720.0
IAB11009MT00,DISCO DE CORTE FINO  09in   ESPESOR 3 MM,UN,0.0,50.0,50.0,1344.0,67200.0
IAB1104MSS00,DISCO CORTE FINO  04 1/2in  ESPESOR 01 MM,UN,0.0,1072.0,1072.0,247.05,264840.0
IAB12007SS00,DISCO CORTE NORMAL 07in ESPESOR 03MM,UN,55.0,0.0,55.0,1187.75,65326.0
IAB12014SS00,DISCO CORTE NORMAL  14 in    ESPESOR 3mm,UN,0.0,14.0,14.0,4066.65,56933.0
IAB1204MSS00,"DISCO CORTE NORMAL  04 1/2in    ESPESOR 2,5 MM",UN,0.0,250.0,250.0,553.06,138264.0
IAB13007SS00,DISCO DESBASTE 07in,UN,52.0,363.0,415.0,1605.83,666417.0
IAB1304MSS00,DISCO DESBASTE 04 1/2in,UN,1.0,160.0,161.0,839.04,135086.0
IAB1404MHIHL,GRATA HISOPO  INOXIDABLE 26 MM,UN,8.0,5.0,13.0,2980.62,38748.0
IAB1404MSSFA,GRATA PLANA TRENZADA  ACERO INOXIDABLE 4 1/2,UN,2.0,10.0,12.0,5400.0,64800.0
IAB1404MSSHL,GRATA COPA  ONDULADA INOXIDABLE 4 1/2,UN,2.0,0.0,2.0,8564.28,17129.0
IAB14207CRKL,DISCO DE LIJA PARA METAL (CUBITRON) 7IN,UN,9.0,0.0,9.0,3527.85,31751.0
IAB1500CSCBH,LIMA ROTATIVA CILINDRICA 1/4 PLG (06MM),UN,7.0,0.0,7.0,14468.85,101282.0
IAB15012SCBH,LIMA ROTATIVA CILINDRICA 1/2 PLG (12MM),UN,6.0,0.0,6.0,23406.89,140441.0
IAB15040SC00,LIJA ROTATIVA CILINDRICA 1 1/2 PLG (40MM) GR60,UN,6.0,0.0,6.0,3631.98,21792.0
IAB1604MSS00,DISCO ZIRCONIO 4 1/2 in G40,UN,0.0,183.0,183.0,1176.0,215208.0
IAB18007SS00,DISCO ZIRCONIO 7 in G80,UN,18.0,174.0,192.0,2599.76,499154.0
IAB210MD0000,PLIEGO DE LIJA MADERA,UN,29.0,0.0,29.0,440.0,12760.0
IAB23208NN00,PIEDRA ESMERIL DE BANCO 8 PLG,UN,0.0,7.0,7.0,8638.5,60470.0
IAB23310AL00,DISCO DE SIERRA 10 IN ALUMINIO,UN,0.0,4.0,4.0,9830.0,39320.0
IABDIAM00412,DISCO DIAMANTADO 4.1/2 CONTINUO,UN,0.0,17.0,17.0,3790.0,64430.0
IAO0102MPAIN,PLUMON PAINT OLEO MEDIO 2MM AMARILLO,UN,13.0,8.0,21.0,1840.21,38645.0
IAO010AZPLBL,PLUMON DE PIZARRA AZUL,UN,0.0,18.0,18.0,664.0,11952.0
IAO020LOROLA,LOMO ARCHIVADOR ANCHO ROJO - LAVORO,UN,0.0,18.0,18.0,485.0,8730.0
IAO030BORPIZ,BORRADOR PIZARRA,UN,6.0,0.0,6.0,635.0,3810.0
IAO050TNKITC,KIT TONER BROTHER ALTERNATIVO - MAGENTA-CYAN-YELLOW,UN,0.0,2.0,2.0,175000.0,350000.0
IAO07048NN3M,CINTA ENMASCARAR,UN,0.0,8.0,8.0,1370.0,10960.0
IAO0HPT25003,CARTUCHOS TINTA HP-250  MG,UN,0.0,12.0,12.0,32222.0,386664.0
IAO103ANOCAP,ANOTADOR C. APRETADOR METAL/MADERA OF ACRIMET,UN,0.0,7.0,7.0,1350.0,9450.0
IAO105AADURA,PILA DURACELL AA,UN,0.0,4.0,4.0,730.71,2923.0
IAO110TIJHAN,TIJERA HAND,UN,0.0,2.0,2.0,749.0,1498.0
IAO32000AA00,PILA DOBLE AA,UN,0.0,1.0,1.0,882.3,882.0
IAO3200AAA00,PILA TRIPLE AAA,UN,7.0,4.0,11.0,871.88,9591.0
IAO350NNNN11,PLUMON MARCADOR PARA CD NEGRO,UN,4.0,0.0,4.0,368.0,1472.0
IAO370CART02,RESMA DE PAPEL CARTA BLANCO,UN,0.0,10.0,10.0,3740.12,37401.0
IAO370OBAN02,BANDEJA PORTADOCUMENTO 3 NIVELESO,UN,0.0,1.0,1.0,6002.0,6002.0
IAO370OGUN02,GUILLOTINA 8X8GS,UN,0.0,1.0,1.0,45000.0,45000.0
IAO400CART00,SEPARADOR TAMAÑO CARTA,UN,0.0,2500.0,2500.0,705.0,1762500.0
IAZ32008NNMA,REMACHE TIPO POP 3.2X8MM,UN,0.0,3.0,3.0,16.0,48.0
IAZ4300MSC00,ABRAZADERA 1/2,UN,8.0,0.0,8.0,950.0,7600.0
IAZABRAZACEI,ABRAZADERA DE ACERO INOX,UN,16.0,3.0,19.0,798.0,15162.0
IBQ1394MSC00,GRATA PLANA ONDULADA CON VASTAGO ACERO CARBONO 4 1/2 in,UN,0.0,181.0,181.0,2600.0,470600.0
IBQ21000NNCC,BOQUILLA PLASMA 9-8212 (90-100),UN,50.0,0.0,50.0,5150.88,257544.0
IBQ21000NNCM,BOQUILLA OXICORTE CNC 106-0 (5-10) KOIKE PROPANO,UN,1.0,0.0,1.0,8802.68,8803.0
IBQ21001NNCM,BOQUILLA OXICORTE CNC 106-1 (10-15) KOIKE PROPANO,UN,1.0,0.0,1.0,8248.15,8248.0
IBQ21003NNCM,BOQUILLA OXICORTE CNC 106-3 (30-40) KOIKE PROPANO,UN,1.0,0.0,1.0,12867.03,12867.0
IBQ21010NN00,BOQUILLA PLASMA 9-8253 (100-120),UN,30.0,0.0,30.0,5238.28,157148.0
IBQ211008237,SHIED CUP BODY 9-8237 SOLTEC,UN,20.0,0.0,20.0,16558.0,331160.0
IBQ21100NNLL,BOQUILLA STARTER CARTRIDGE 9-8213,UN,13.0,0.0,13.0,29000.0,377000.0
IBQ21400NN00,CASQUILLO PROTECTOR 9-8239 / PUNTA DE ARRASTRE 70-100,UN,20.0,0.0,20.0,11698.53,233971.0
IBQ214825600,CASQUILLO PROTECTOR 9-8256 / PUNTA DE ARRASTRE 100-120,UN,1.0,0.0,1.0,15900.0,15900.0
IBQ22001NN00,BOQUILLA OXICORTE MANUAL N°1,UN,2.0,0.0,2.0,4574.97,9150.0
IBQ22002NN00,BOQUILLA OXICORTE MANUAL N°2,UN,0.0,13.0,13.0,5309.91,69029.0
IBQ22003NN00,BOQUILLA OXICORTE MANUAL N°3,UN,0.0,20.0,20.0,4069.25,81385.0
IBQ22004NN00,BOQUILLA OXICORTE MANUAL N°4,UN,0.0,19.0,19.0,4051.79,76984.0
IBQ22005NN00,BOQUILLA OXICORTE MANUAL N°5,UN,0.0,15.0,15.0,4682.97,70244.0
IBQ22006NN00,BOQUILLA OXICORTE MANUAL N°6,UN,9.0,0.0,9.0,4171.84,37547.0
IBQ23016NN00,BOQUILLA MIG 1.6 MM,,0.0,296.0,296.0,504.0,149184.0
IBQ23109CRCM,TOBERA CERÁMICA TIG N09,,18.0,0.0,18.0,2500.0,45000.0
IBQ23110CRCM,TOBERA CERÁMICA TIG N10,,18.0,0.0,18.0,4000.0,72000.0
IBQ2314MSC00,GRATA COPA ONDULADA ACERO CARBONO PARA ESMERIL DE 4 ½,UN,20.0,0.0,20.0,2930.65,58613.0
IBQ23216NN00,DIFUSOR MIG 54A PISTOLAR DE SOLDAR ,,107.0,0.0,107.0,947.07,101336.0
IBQ24016NNCI,TOBERA MIG 16 MM TWECO  - 2362,UN,1.0,486.0,487.0,4202.21,2046476.0
IBQ25016NN00,BOQUILLA PISTOLA MIG 1.6,,0.0,86.0,86.0,1500.0,129000.0
IBQ25124NN00,BOQUILLA 2.4 P/ARCO SUMERGIDO,UN,10.0,0.0,10.0,3948.27,39483.0
IBQ25300NN00,CARTUCHO DE INICIO 9-8213,UN,6.0,0.0,6.0,31390.94,188346.0
IBQ28211NNCC,BOQUILLA PLASMA 9-8211,UN,3.0,0.0,3.0,2500.0,7500.0
IBR70111SC00,BROCA ANULAR 11 MM,UN,0.0,9.0,9.0,9044.0,81396.0
IBR70114SC00,BROCA ANULAR 14 MM,UN,0.0,2.0,2.0,26408.11,52816.0
IBR70116SC00,BROCA ANULAR 16 MM,UN,0.0,5.0,5.0,32617.69,163088.0
IBR70117SCMK,BROCA ANULAR 17 MM,UN,1.0,6.0,7.0,27833.24,194832.0
IBR70118SCMK,BROCA ANULAR 18 MM,UN,2.0,6.0,8.0,25718.54,205748.0
IBR70119SC00,BROCA ANULAR 19 MM,UN,0.0,7.0,7.0,24692.07,172844.0
IBR70120SC00,BROCA ANULAR 20 MM,UN,0.0,8.0,8.0,29226.11,233809.0
IBR70121SC00,BROCA ANULAR 21 MM,UN,2.0,7.0,9.0,29981.88,269837.0
IBR70122SCMK,BROCA ANULAR 22 MM,UN,0.0,6.0,6.0,29104.16,174625.0
IBR70125SCMW,BROCA ANULAR 25 MM,UN,0.0,1.0,1.0,47704.21,47704.0
IBR70126SCMK,BROCA ANULAR 26 MM,UN,0.0,7.0,7.0,43465.63,304259.0
IBR70127SCMK,BROCA ANULAR 27 MM,UN,0.0,3.0,3.0,37183.65,111551.0
IBR70129SCMK,BROCA ANULAR 29 MM,UN,0.0,6.0,6.0,52043.57,312261.0
IBR70130SCMK,BROCA ANULAR 30 MM,UN,1.0,1.0,2.0,48404.79,96810.0
IBR70132SCMK,BROCA ANULAR 32 MM,UN,0.0,2.0,2.0,44742.81,89486.0
IBR70140SC00,BROCA ANULAR 40 MM,UN,0.0,4.0,4.0,71803.33,287213.0
IBR70142SC00,BROCA ANULAR 42 MM,UN,1.0,0.0,1.0,119629.2,119629.0
IBR70150SCMK,BROCA ANULAR 50 MM,UN,0.0,3.0,3.0,88669.13,266007.0
IBR70319SC00,BROCA SDS 19MM (HORMIGON),UN,1.0,0.0,1.0,16000.0,16000.0
IBR70322SC00,BROCA SDS 22MM (HORMIGON),UN,3.0,0.0,3.0,16000.0,48000.0
IBR70322SC70,BROCA SDS 70MM  (HORMIGON),UN,1.0,0.0,1.0,322.0,322.0
IBR7071200MK,BROCA SDS PLUS 12 MM ,UN,0.0,4.0,4.0,2798.0,11192.0
IBR71004SS00,BROCA CILINDRICA COBALTO 04 MM,UN,0.0,15.0,15.0,1093.0,16395.0
IBR71005SS00,BROCA CILINDRICA COBALTO 05 MM,UN,0.0,15.0,15.0,1597.0,23955.0
IBR71006SS00,BROCA CILINDRICA COBALTO 06 MM,UN,0.0,11.0,11.0,1560.0,17160.0
IBR71012NN00,BROCA SDS CONCRETO 12MM (HORMIGON),UN,0.0,12.0,12.0,1147.0,13764.0
IBR71014SSDR,BROCA CILINDRICA COBALTO 14 MM,UN,0.0,13.0,13.0,16004.08,208053.0
IBR71019SC00,BROCA CILINDRICA HSS 19 MM,UN,4.0,2.0,6.0,16300.0,97800.0
IBR71022SC00,BROCA CILINDRICA HSS 22 MM,UN,1.0,0.0,1.0,16300.0,16300.0
IBR71042SC00,BROCA CILINDRICA HSS 42 MM,UN,1.0,0.0,1.0,28451.0,28451.0
IBR71101NN00,FLUIDO DE CORTE TAP MATIC- 500 CC,UN,9.0,0.0,9.0,19757.91,177821.0
IBR713050000,BROCA HSS REBAJADA 7/8in,UN,3.0,0.0,3.0,82226.9,246681.0
IBR71516SCMK,BROCA PALETA MADERA 16 MM,UN,0.0,2.0,2.0,2723.0,5446.0
IBR71600NN00,BROCA FIERRO,UN,0.0,13.0,13.0,20900.0,271700.0
ICP14700NN02,Memoria RAM,UN,2.0,0.0,2.0,4781.5,9563.0
ICP16600NN00,CONECTOR ANTENA,UN,0.0,50.0,50.0,3200.0,160000.0
IEL020383205,ENCHUFE MACHO VOLANTE IND. 380 V  32A 3P+T+N,UN,0.0,7.0,7.0,5496.0,38472.0
IEL040383204,ENCHUFE HEMBRA IND. S/P 380 V  32A 3P+T,UN,3.0,0.0,3.0,3546.0,10638.0
IEL040383205,ENCHUFE HEMBRA IND. S/P 380 V  32A 3P+T+N,UN,0.0,26.0,26.0,1588.0,41288.0
IEL060300W00,FOCO LED 300 WATTS- TIPO TUBO,UN,3.0,0.0,3.0,77227.0,231681.0
IEL132T836WN,TUBO FLUO T8 36W/540 G13 LUZ DIA,UN,0.0,2.0,2.0,731.0,1462.0
IEL13500MT00,CAJA FUERTE,UN,1.0,0.0,1.0,21900.0,21900.0
IEL13912MT00,BOQUILLA GALV B.C. 1 1/2,UN,0.0,503.0,503.0,299.0,150397.0
IEL23COINN00,INTERRUPTO CORTA CORRIENTE 24V,UN,1.0,0.0,1.0,10995.0,10995.0
IEL241HBRA10,TOMA DE CORRIENTE TRIPLE 10 A HEMBRA,UN,6.0,0.0,6.0,2184.87,13109.0
IEL261CAD115,CARGA CADWELD 115,UN,0.0,21.0,21.0,7800.0,163800.0
IEL320380V00,TOMA S/P 32A. 3P + 380V. IP-44 PCE,UN,0.0,5.0,5.0,5000.0,25000.0
IEL320380V01,SOQUETE 32 A-380V/ PORTA FOCO,UN,3.0,0.0,3.0,2686.0,8058.0
IEL3312216LG,ENCHUFE HEMBRA VOLANTE 220 V  16A 2P+T,UN,0.0,69.0,69.0,4108.55,283490.0
IEL3322216LG,ENCHUFE MACHO VOLANTE  220 V  16A 2P+T,UN,0.0,113.0,113.0,2228.72,251846.0
IEL3353832LG,ENCHUFE HEMBRA VOLANTE 380 V  32A 3P+T,UN,0.0,58.0,58.0,6083.22,352827.0
IEL3363832LG,ENCHUFE MACHO VOLANTE  380 V  32A 3P+T,UN,12.0,0.0,12.0,5002.57,60031.0
IEL4013MTS00,ALARGADOR MULTIPLE 3MTS,UN,1.0,0.0,1.0,14058.79,14059.0
IEL4068930NN,CAJA CHUQUI PLASTICA SOBREPUESTA,UN,7.0,0.0,7.0,120.0,840.0
IEL407220VNN,ENCHUFE MULTIPLE 220V,UN,17.0,0.0,17.0,17289.31,293918.0
IEL407380VNN,ENCHUFE MULTIPLE 380V,UN,6.0,0.0,6.0,38213.11,229279.0
IEL407CONE00,CONECTOR EURO HEMBRA MIG HREAMB 1PC (MAX),UN,2.0,0.0,2.0,13809.0,27618.0
IEL463TIEBT5,CONJUNTO PUESTA A TIERRA DE BT,UN,0.0,4.0,4.0,108115.0,432460.0
IEL477LED18W,FOCO EMBUTIDO LED 18 W REDONDO 6000K,UN,1.0,0.0,1.0,19016.8,19017.0
IEL4783X16AH,ENCHUFE HEMBRA 3 X 16A,UN,0.0,215.0,215.0,874.0,187910.0
IEL51315NNEK,LAMPARA AHORRO ENERGÍA FL 150W E-40,UN,2.0,0.0,2.0,773.11,1546.0
IEM540CINTRB,CINTA EMBALAJE TRANSPARENTE,UN,7.0,71.0,78.0,526.0,41028.0
IEM55042MD00,MADERA DIMENSIONADO VERDE 4 X2 X 3200,UN,0.0,100.0,100.0,4028.78,402878.0
IEM56003SCNN,CLAVO 3'',KG,0.0,3.0,3.0,1210.08,3630.0
IEM56004NN00,CLAVO 4 PLG,KG,0.0,50.0,50.0,1380.0,69000.0
IEM56004SCNN,CLAVO 4'',KG,0.0,2.0,2.0,1176.0,2352.0
IEM56006NN00,CLAVO 6 PLG,KG,0.0,2.0,2.0,1904.0,3808.0
IEM5603MNN00,CLAVO 3 1/2 PLG,KG,8.0,0.0,8.0,6431.91,51455.0
IEN030NNNN00,"HUAWEI, INVERSOR ONGRIF TRIFASICO, 100KW, IP65, VERSION M2",UN,0.0,0.1,0.1,4828833.0,482883.0
IEN040NNNN00,"HUAWEI, INVERSOR HIBRIDO TRIFASICO, 50KW, IP65, VERSION 3M",UN,0.0,1.0,1.0,2558935.0,2558935.0
IEN050NNNN00,"HUAWEI, SMART DONGLE WLAN-FE (10/100 MBIT PORT)",UN,0.0,1.0,1.0,58777.0,58777.0
IGA32000NN01,GAS ATAL (MEZCLA),UN,0.0,8.0,8.0,95000.0,760000.0
ILI0102016EL,PAPEL HIGIENICO 16 ROLLOS 20MT H/TRIPLE EL,UN,0.0,16.0,16.0,4980.0,79680.0
ILI0105LTSKL,JABON LIQUIDO 5 LTS. ALMENDRA KLAREN,UN,0.0,7.0,7.0,6274.0,43918.0
ILI010GUAN00,GUANTE DE LATEX AMARILLOS,UN,0.0,3.0,3.0,613.0,1839.0
ILI010INSE00,INSECTICIDA MATA MOSCAS 360CC. RAID,UN,0.0,14.0,14.0,1860.0,26040.0
ILI010MOPA00,MOPA MICROFIBRA C/MANGO COMPLETA FIBRO,UN,0.0,2.0,2.0,4542.86,9086.0
ILI030RVGONN,RENOVADOR DE GOMA TINTA VULK P/PNEUS,LT,0.0,10.0,10.0,0.0,0.0
ILI050ESCOBR,ESCOBILLON EXTERIOR SCTOCH BRITE,UN,0.0,18.0,18.0,25750.0,463500.0
ILI060507000,BOLSA DE BASURA 50 X 70,UN,0.0,140.0,140.0,933.0,130620.0
ILI060709000,BOLSA BASURA 70 X 90 CM,UN,0.0,319.0,319.0,692.72,220978.0
ILI060801200,BOLSAS DE BASURA 80 X 120,UN,0.0,118.0,118.0,1071.49,126436.0
ILI080NNNN00,CLORO,UN,11.0,2.0,13.0,4387.0,57031.0
ILI090NNNN00,CLORO GEL,UN,0.0,19.0,19.0,4333.0,82327.0
ILI120NNNN00,DESINFECTANTE AMBIENTAL,UN,0.0,11.0,11.0,3438.0,37818.0
ILI130NNNN00,DESODORANTE AMBIENTAL,UN,0.0,11.0,11.0,1398.31,15381.0
ILI160NNNN00,ESCOBILLON,UN,0.0,2.0,2.0,3528.0,7056.0
ILI170000400,ESPONJA CLASICA,UN,0.0,10.0,10.0,831.0,8310.0
ILI280NNNN00,LIMPIADOR PARA PISOS,UN,0.0,1.0,1.0,2497.5,2498.0
ILI430NNNN00,DISPENSADOR,UN,12.0,0.0,12.0,35750.0,429000.0
ILICLOROTABL,CLORO TABLETAS,UN,15.0,0.0,15.0,7950.0,119250.0
ILISETPAMICR,SET PAÑO DE MICROFIBRA CUN1,UN,0.0,9.0,9.0,399.0,3591.0
IOT070ALPEMD,ALIMENTO PERRO ADULTO 18 KGS.  MASTER DOG,UN,0.0,3.1,3.1,25877.36,80220.0
IOT100HS5049,RODAMIENTO MODELO HS5049B,UN,0.0,1.0,1.0,27950.0,27950.0
IOT117180N00,RODILLO 180MM,UN,0.0,50.0,50.0,1794.0,89700.0
IOT13100NN00,PISO PLASTICO COLORES,UN,0.0,1.0,1.0,1672.26,1672.0
IOT1450NN01,PORTA TIZA MARCA METAL,UN,15.0,11.0,26.0,1990.0,51740.0
IOT188120140,YESO CARTON 15MM 1.20 X 2.40 BR,UN,0.0,394.0,394.0,7639.0,3009766.0
IOT189NNNN00,DISPENSADOR TOALLA PAPEL,UN,0.0,3.0,3.0,65290.0,195870.0
IOT1955000NN,AMARRAS PLASTICA  500 X 0.9 MM,UN,100.0,0.0,100.0,369.29,36929.0
IOT195760NN9,AMARRAS PLASTICAS  760 X 0.9 MM,UN,500.0,0.0,500.0,247.43,123715.0
IOT19901NN00,TEFLON 1inx0.75mm x 10Mts.,UN,59.0,0.0,59.0,1.0,59.0
IOT200AMARIL,PLUMON MARCA METAL AMARILLO,UN,0.0,20.0,20.0,1505.04,30101.0
IOT20301NN00,BROCHA ESTAMPA CERDA  1 IN,UN,1.0,0.0,1.0,617.71,618.0
IOT20304NN00,BROCHA ESTAMPA CERDA  4 IN,UN,0.0,1.0,1.0,2754.53,2755.0
IOT20425NN00,TIERRA PARA TIZADORES ,KG,2.0,0.0,2.0,5042.01,10084.0
IOT20900NN00,BOQUILLAS DE RPTO ALCOTEST DEGITAL 10UN,UN,13.0,0.0,13.0,54900.0,713700.0
IOT218IGNI00,MANTA IGNIFUGA,UN,2.0,0.0,2.0,113000.0,226000.0
IOT221SPOT00,SPOTCHECK AEROSOL REVELADOR SKD-S2 330GR,UN,30.0,0.0,30.0,21900.0,657000.0
IOT223CHIS00,CHISPERO TIPO COPA,UN,0.0,15.0,15.0,1151.0,17265.0
IOT224PIED00,PIEDRA PARA CHISPERO,UN,0.0,47.0,47.0,175.0,8225.0
IOT228240NN0,ADHESIVO VINILIT TARRO C/O 240CC,UN,0.0,2.0,2.0,3440.33,6881.0
IOT231FIBO00,DISCO DE FIBRA FS966 180X22 G.36 (BUBITRON),UN,0.0,200.0,200.0,2340.0,468000.0
IOT242AGOR00,CINTA TAPAGOTERAS AGOREX 10 MT,UN,0.0,2.0,2.0,20613.5,41227.0
IOT242SENN00,ROLLOS CINTAS SELLADORES,UN,1.0,0.0,1.0,3045.0,3045.0
IOT243PH225M,PUNTA PHILLIPS X 25MM,UN,4.0,0.0,4.0,1313.4,5254.0
IOT289PCNN00,PIEDRA CHISPERO,UN,4.0,0.0,4.0,329.09,1316.0
IOT294NN0000,CERRADURA BOLA DORMITORIO,UN,0.0,1.0,1.0,20925.0,20925.0
IOT295ALGU00,ALGUICIDA 1 LT,UN,3.0,0.0,3.0,1873.95,5622.0
IOT30055RB00,AMARRAS PLASTICAS 550x8.0,UN,39.0,89.0,128.0,252.0,32256.0
IOT30130RB00,AMARRAS PLASTICAS 300x4.8,UN,0.0,88.0,88.0,59.0,5192.0
IOT301FCNN00,FLUIDO DE CORTE TAP MATIC 1 LTS,LT,0.0,2.0,2.0,25753.07,51506.0
IOT302TAP124,TORNILLO AUTOPERFORANTE HEXAGONAL 1/2 X 4 IN ,UN,0.0,481.0,481.0,110.0,52910.0
IOTCANOISTER,CANDADO OISTER,UN,4.0,0.0,4.0,3884.4,15538.0
IOTI0ZABOLSA,TIZA BOLSA 1 KG,UN,0.0,7.0,7.0,1317.43,9222.0
IOTI0ZACERAA,TIZA DE CERA,UN,0.0,561.0,561.0,790.0,443190.0
IOTLOCYRV243,PEGAMENTO LOCTITE PARA ENGOMADO,UN,0.0,4.0,4.0,7500.0,30000.0
IOTMANGNNCO0,MANGA COLECTORA/FILTRO COLECTOR ,UN,1.0,0.0,1.0,36075.0,36075.0
IOTMAXISACOS,MAXISACOS DE 1000 KILOS,UN,0.0,50.0,50.0,9990.0,499500.0
IOTSILLAESCR,SILLA DE ESCRITORIO,UN,2.0,0.0,2.0,63017.0,126034.0
IOTTALCOINDU,TALCO INDUSTRIAL,UN,0.0,110.0,110.0,2923.0,321530.0
IPN20700CCVM,CEMENTO COLA VULK MULTIUSO,LT,0.0,200.0,200.0,0.0,0.0
IPN850120000,GEL DECAPANTE ACERO INOX 1200GRS,UN,0.0,3.0,3.0,27246.78,81740.0
IPN90043NNRU,PINTURA ESMALTE SPRAY,UN,7.0,0.0,7.0,3355.0,23485.0
IPN960PTAZUL,PASTA AZUL,KG,0.0,64.0,64.0,13486.0,863104.0
IPNIMPRIMA01,ADHESIVO IMPRIMANTE ANTICORROSIVO GRIS  MEGUN 3270,KG,0.0,40.0,40.0,0.0,0.0
IPNIMPRIMA02,ADHESIVO IMPRIMANTE MEGUN 128 (UN 1993),LT,0.0,40.0,40.0,0.0,0.0
ISL316L12000,ALAMBRE DE SOLDADURA 316L TUBULAR 1.2 MM,KG,45.0,0.0,45.0,14305.0,643725.0
ISL9200G7018,ELECTRODO 7018 5/32 IN,KG,45.0,0.8,45.8,3250.0,148850.0
ISL9200G7P12,ELECTRODO BRONCE P12-R BAS 1/8,KG,5.0,0.0,5.0,14900.0,74500.0
ISL9200H2507,ELECTRODO SUPER DUPLEX 2507 3/32in,KG,135.0,0.0,135.0,35029.0,4728915.0
ISL9200H6011,ELECTRODO 6011  3/32 in,KG,0.0,0.7,0.7,3193.07,2235.0
ISL9200HSS00,ELECTRODO 316L 3/32in,KG,9.0,0.0,9.0,14045.0,126405.0
ISL9200O6011,ELECTRODO 6011  1/8 in,KG,0.0,112.75,112.75,3566.94,402173.0
ISL9200O7018,ELECTRODO 7018  1/8  in,KG,2.0,0.0,2.0,2495.89,4992.0
ISL9200OSCLI,ELECTRODO 1/8in E6010 PARA CARBONO LINCONLN,,0.0,150.0,150.0,1465.0,219750.0
ISL92025NN00,"ELECTRODO 2,5MM NICRMO3 DUPLEX",,5.0,0.0,5.0,1890.0,9450.0
ISL93009316L,ALAMBRE SOLDADURA MIG SOLIDO 0.9MM 316L,KG,15.0,0.0,15.0,20947.0,314205.0
ISL9300EST00,ALAMBRE SOLDADURA ESTAÑO,KG,2.0,2.0,4.0,7247.5,28990.0
ISL94012316L,ALAMBRE DE SOLDADURA 316L TUBULAR 1.2 MM MIG,,60.0,0.0,60.0,14305.0,858300.0
ISL9401271T1,ALAMBRE DE SOLDADURA E71T1 TUBULAR 1.2 MM MIG,KG,0.0,380.0,380.0,3722.86,1414685.0
ISL94012SS00,ALAMBRE SOLDADURA MIG TUBULAR 1.2 MM 316L,KG,30.0,0.0,30.0,13590.0,407700.0
ISL94012SSNN,ALAMBRE SOLDADURA 316L 1.2 MM SOLIDO,KG,0.0,105.0,105.0,10072.5,1057612.0
ISL9401681N1,ALAMBRE DE SOLDADURA E81NI1 TUBULAR 1.6 MM MIG,KG,0.0,171.0,171.0,6427.33,1099073.0
ISL9500HSS00,TUNGSTENO 3/32in 5% TORIO PUNTO VERDE,UN,6.0,0.0,6.0,2500.0,15000.0
ISL95024316L,APORTE TIG 3/32 - 316L,,0.0,2.0,2.0,15533.5,31067.0
ISL970240000,ALAMBRE ARCO SUMERGIDO 2.4MM,KG,0.0,50.0,50.0,1450.0,72500.0
ISL981SOLD0M,SOLDADURA ALAMBRE 50% X 1/2 ( ROLLO),UN,0.0,2.0,2.0,8151.26,16303.0
ISL983K4000C,TORCHADOR 1200 AMP K 4000,UN,4.0,0.0,4.0,78154.0,312616.0
ISL98600DP0,ELECTRODO DURAMAX PMX PLASMA,,62.0,0.0,62.0,10896.81,675602.0
ISL98600NNCC,ELECTRODO PLASMA 9-8215,UN,99.0,0.0,99.0,4250.0,420750.0
ISLGRAFITO10,GRAFITO 3/8 x 12IN (10mm x 305mm),UN,0.0,250.0,250.0,494.55,123638.0
ISLGRAFITO65,GRAFITO 1/4 x 12IN (6.5mm x 305mm),UN,0.0,500.0,500.0,251.0,125500.0
RODILLOCHI00,RODILLO CHIPORRO ,,0.0,50.0,50.0,0.0,0.0
SEHHGPSS1060,MALLA,UN,1.0,0.0,1.0,2790.0,2790.0
SEPPINTIPE00,SERVICIO INSPECCION TINTAS PENETRANTES,UN,0.0,5.0,5.0,340000.0,1700000.0
SEQQBOSC1010,MANTENCION DE TALADRO CON BASE MACNETICA BOSCH,UN,0.0,1.0,1.0,59600.0,59600.0
SEQQINTE2055,SOPORTE TIPO L,UN,10.0,0.0,10.0,2500.0,25000.0
