Cod. Producto,Producto,Cod. U. Medida,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock Total Consolidado,Costo Unit.,Costo Total
CA23495D4W90,CODO 5D 90° RL 4in  STD,UN,0.0,1.0,1.0,149559.0,149559.0
CA2349C03W13,CODO 90° RL 3in SCH40,UN,0.0,35.0,35.0,6603.47,231122.0
CA2349C06W04,CODO 90º RL 06in SCH40,UN,0.0,19.0,19.0,23430.0,445170.0
CA2349C08W04,CODO 90° RC 8 in SCH 40,UN,0.0,1.0,1.0,35525.0,35525.0
CA2349C10W04,CODO 90º RL 10in SCH40,UN,0.0,21.0,21.0,86689.52,1820480.0
CA2349C14W04,CODO 90º RL 14in SCH 40,UN,0.0,10.0,10.0,124846.85,1248468.0
CA234C38W004,CODO 90º RC 4in SCH 40,UN,0.0,8.0,8.0,10896.0,87168.0
CA234ER06W03,REDUCCION EXCENTRICA A-234 06in X 03in SCH40,UN,0.0,1.0,1.0,10387.0,10387.0
CA234ER06W04,REDUCCION EXCENTRICA A-234 06in X 04in SCH40,UN,0.0,1.0,1.0,8844.0,8844.0
CA234RC10W08,REDUCCIÓN CONCENTRICA  10in - 08in WELDING SCH14,UN,0.0,2.0,2.0,22067.0,44134.0
CA234TE03000,TEE RECTA 3 in A234 SCH 40,UN,0.0,7.0,7.0,9635.0,67445.0
CA234TE06000,TEE RECTA 6 in A-234 SCH40,UN,0.0,5.0,5.0,23496.83,117484.0
CA234TE14W04,TEE RECTA 14 in A-234 SCH40,UN,0.0,1.0,1.0,130752.0,130752.0
CA234TEEA403,TEE RECTA 4 in A-234 SCH 40,UN,0.0,4.0,4.0,12886.0,51544.0
CA234TR08W06,TEE REDUCCION A-234 08in X 6in SCH40,UN,0.0,2.0,2.0,17665.0,35330.0
CA234TR14W10,REDUCCION CONCENTRICA A-234 14 in X 10i n SCH40,UN,0.0,1.0,1.0,59786.0,59786.0
CA234TRC4212,REDUCCION CONCENTRICA A-234 SCH-40 4X2  1/2,UN,0.0,1.0,1.0,5047.0,5047.0
CA325PES2MY0,PERNO HEXAGONAL A-325 7/8 X 2 1/2'',UN,0.0,297.0,297.0,387.0,114939.0
CAZINES0QS34,ESPARRAGO 3/4 ZINCADO ,MT,66.0,0.0,66.0,3825.0,252450.0
CF436GOSQS01,GOLILLA PLANA F-436 1,UN,20.0,0.0,20.0,196.0,3920.0
CGR02TU0ZI00,TUERCA HEXAGONAL  G°2  3/4 in ZINC,UN,295.0,0.0,295.0,9552.0,2817840.0
CGR02TU0ZI58,TUERCA HEXAGONAL  G°2  5/8 in ZINC,UN,200.0,0.0,200.0,395.0,79000.0
E100ALKEVL04,ARNES 4 ARGOLLAS DE KEVLAR MSA,UN,5.0,0.0,5.0,107900.0,539500.0
E100AN000005,CASQUETE PORTAVISOR CON ARNES CABEZA PARA PANTALLA 8 X 16,,5.0,2.0,7.0,1808.87,12662.0
E100ANVISO06,VISOR 8X16 CLARO BORDE ALUMINIO,UN,268.0,0.0,268.0,2650.0,710200.0
E100BS000003,PUNTERAS DE SEGURIDAD,PR,1.0,0.0,1.0,12385.0,12385.0
E100CA000001,CASCO DE SEGURIDAD,UN,0.0,6.0,6.0,4643.18,27859.0
E100CAPROT03,CASCO BLANCO PROSEG,UN,2.0,0.0,2.0,1283.0,2566.0
E100CASMAU08,PROTECTOR AUDITIVO P/CASCO,UN,7.0,0.0,7.0,6136.32,42954.0
E100F1003M07,FILTRO 2091 (P100) - 3M CONTRA PARTICULAS,UN,0.0,183.0,183.0,7084.35,1296437.0
E100FI000009,FILTRO AIR F200CP3 - CONTRA PARTICULAS Y VAPORES,UN,0.0,6.0,6.0,5411.6,32470.0
E100FI003M04,FILTRO 60923 3M / F600VGP3 AIR - CONTRA GASES Y VAPORES,UN,0.0,6.0,6.0,5255.96,31536.0
E100FI0M0001,RESPIRADOR MEDIO ROSTRO,UN,8.0,10.0,18.0,24530.31,441545.0
E100LE000002,LENTES OSCUROS,UN,11.0,4.0,15.0,1459.95,21899.0
E100MSFULL03,MASCARA FULL FACE 6800 3M,PR,2.0,0.0,2.0,68293.33,136587.0
E100MSRECS00,RESPIRADOR ELIPSE COMPLETO SPR,UN,2.0,0.0,2.0,78445.0,156890.0
E100PA000003,TAPON AUDITIVO REUTILIZABLE,UN,0.0,224.0,224.0,301.32,67496.0
E100PA003M02,TAPON AUDITIVO ESPUMA - 3 M,UN,0.0,41.0,41.0,101.48,4161.0
E100VD000002,VIDRIO SOLDADOR NEGRO,UN,0.0,525.0,525.0,128.0,67200.0
E100VD000007,PACK VISORES MASCARA DE SOLDAR STEELPRO,UN,1.0,37.0,38.0,2730.37,103754.0
E100VD000010,MASCARA DE SOLDAR,UN,0.0,24.0,24.0,25528.9,612694.0
E100VDBLAC01,VIDRIO SOLDADOR TRANSPARENTE - MASCARA NORMAL,,0.0,763.0,763.0,72.4,55244.0
E100VDBLAC04,MICA PARA CARETA FACIAL PARA CASQUETE AMARILLO,,24.0,0.0,24.0,990.0,23760.0
E100VDNEGR10,VIDRIO SOLDADOR NEGRO GRADO 10,UN,0.0,86.0,86.0,950.0,81700.0
E100VDNEGR12,VIDRIO SOLDADOR NEGRO GRADO 12,UN,0.0,95.0,95.0,10.0,950.0
E100VDOPTE03,MASCARA DE SOLDAR FOTOSENSIBLE STEELPRO OPTECH,UN,0.0,1.0,1.0,36217.18,36217.0
E200AL000009,ANCLAJE DE CABLE SUSPENDIDO,UN,3.0,0.0,3.0,19675.0,59025.0
E200GU000007,GUANTE DE NITRILO VERDE,PR,0.0,100.0,100.0,720.0,72000.0
E200GUANCO16,GUANTES ANTI CORTES,PR,0.0,6.0,6.0,4620.26,27722.0
E200GUNNNN05,GUANTES DE LATEX,UN,1.0,0.0,1.0,332.2,332.0
E200GUNNNN06,GUANTES DE NITRILO - GOMA,UN,0.0,7.0,7.0,1270.0,8890.0
E200GUOOOOO4,GUANTES DE CABRITILLA  PUÑO LARGO,PR,39.0,8.0,47.0,1811.83,85156.0
E200GUPROM01,GUANTES DE CABRITILLA PUÑO CORTO,PR,9.0,50.0,59.0,1352.2,79780.0
E200GUPROM10,GUANTE SOLDADOR ROJO,,0.0,19.0,19.0,1890.0,35910.0
E200GUSOLAZU,GUANTES SOLDADOR,PR,0.0,15.0,15.0,3314.62,49719.0
E200PROSOL00,PROTECTOR SOLAR 1 LT,UN,1.0,0.0,1.0,10271.63,10272.0
E300BS000001,BOTIN SEGURIDAD DAMA,UN,2.0,0.0,2.0,24890.0,49780.0
E300BS000002,BOTIN DE SEGURIDAD VARON,PR,2.0,0.0,2.0,40952.81,81906.0
E300BUNNNN05,OVEROL TELE ANTIACIDA,UN,0.0,4.0,4.0,13900.0,55600.0
E300CQWORK03,IN - CHAQUETA POLAR VARON,UN,0.0,2.0,2.0,6200.0,12400.0
E400BUBLAC03,BUZO PAPEL BLANCO,UN,87.0,31.0,118.0,2699.07,318490.0
E400CM000006,CAMISA MEZCLILLA VARON,UN,0.0,90.0,90.0,14069.96,1266296.0
E400PC00XXL4,CONJUNTO PRIMERA CAPA POLIESTER T/XXL,UN,0.0,2.0,2.0,5387.0,10774.0
E400PO000004,POLERA PIQUE M/LARGA AZUL VARON,UN,2.0,0.0,2.0,7227.5,14455.0
E400PO000009,POLERA PIQUE M/CORTA DAMA,UN,2.0,0.0,2.0,4100.0,8200.0
E400PTBLKW01,PANTALON DE MEZCLILLA,UN,20.0,0.0,20.0,9640.76,192815.0
E400SDALFA01,PANTALON SOLDADOR CUERO,UN,0.0,12.0,12.0,64539.77,774477.0
E400SDKEVL02,CHAQUETA SOLDADOR DE CUERO,UN,1.0,0.0,1.0,44033.36,44033.0
E400SDKEVL04,COLETO DE CUERO,UN,2.0,5.0,7.0,6540.18,45781.0
E400SDMAOT01,CHAQUETA SOLDADOR CUERO MAO TENMIX,UN,0.0,3.0,3.0,68900.0,206700.0
E400SDPROM03,POLAINAS DE CUERO,PR,3.0,0.0,3.0,5578.19,16735.0
E500BLAPRO02,PINZA DE BLOQUEO,UN,76.0,0.0,76.0,2048.05,155652.0
E500BLLOCK01,CANDADO BLOQUEO AMERICAN LOCK,UN,27.0,6.0,33.0,8473.97,279641.0
E500IZ000001,ESLINGA RACHET 1 MT ( CHICHARRA),UN,1.0,0.0,1.0,12116.0,12116.0
E500OT000008,MUÑEQUERA PORTA HERRAMIENTAS,,8.0,0.0,8.0,6001.96,48016.0
E500OTRODI19,RODILLERA,UN,0.0,5.0,5.0,4200.0,21000.0
