Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
SS,STOCK SUCURSAL LA CHIMBA,,,,,H500MQAGC329,ENZUNCHADORA AGC33 ACERO 13-16-19MM MANUAL,,2.0,0.0,0.0,0.0,2.0,19900.0,39800.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,,,,,RODILLOCHI00,RODILLO CHIPORRO ,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : Sin Sub Grupo,,,,,,nan,,,52.0,0.0,0.0,0.0,52.0,,39800.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : Sin Grupo,,,,,,nan,,,52.0,0.0,0.0,0.0,52.0,,39800.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,102,MADERAS,EM,EMBALAJE,IEM540CINTRB,CINTA EMBALAJE TRANSPARENTE,UN,71.0,0.0,0.0,0.0,71.0,526.0,37346.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,102,MADERAS,EM,EMBALAJE,IEM55042MD00,MADERA DIMENSIONADO VERDE 4 X2 X 3200,UN,100.0,0.0,0.0,0.0,100.0,4028.78,402878.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,102,MADERAS,EM,EMBALAJE,IEM56003SCNN,CLAVO 3'',KG,3.0,0.0,0.0,0.0,3.0,1210.08,3630.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,102,MADERAS,EM,EMBALAJE,IEM56004NN00,CLAVO 4 PLG,KG,50.0,0.0,0.0,0.0,50.0,1380.0,69000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,102,MADERAS,EM,EMBALAJE,IEM56004SCNN,CLAVO 4'',KG,2.0,0.0,0.0,0.0,2.0,1176.0,2352.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,102,MADERAS,EM,EMBALAJE,IEM56006NN00,CLAVO 6 PLG,KG,2.0,0.0,0.0,0.0,2.0,1904.0,3808.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : EM,,,,,,nan,,,228.0,0.0,0.0,0.0,228.0,,519014.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 102,,,,,,nan,,,228.0,0.0,0.0,0.0,228.0,,519014.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,108,PINTURAS,047,DILUYENTES,ILI030RVGONN,RENOVADOR DE GOMA TINTA VULK P/PNEUS,LT,10.0,0.0,0.0,0.0,10.0,0.0,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : 047,,,,,,nan,,,10.0,0.0,0.0,0.0,10.0,,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,108,PINTURAS,GM,GOMA,IPNIMPRIMA01,ADHESIVO IMPRIMANTE ANTICORROSIVO GRIS  MEGUN 3270,KG,40.0,0.0,0.0,0.0,40.0,0.0,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,108,PINTURAS,GM,GOMA,IPNIMPRIMA02,ADHESIVO IMPRIMANTE MEGUN 128 (UN 1993),LT,40.0,0.0,0.0,0.0,40.0,0.0,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : GM,,,,,,nan,,,80.0,0.0,0.0,0.0,80.0,,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
