Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
SS,STOCK SUCURSAL LA CHIMBA,108,PINTURAS,PN,PINTURA,IPN20700CCVM,CEMENTO COLA VULK MULTIUSO,LT,200.0,0.0,0.0,0.0,200.0,0.0,0.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,108,PINTURAS,PN,PINTURA,IPN850120000,GEL DECAPANTE ACERO INOX 1200GRS,UN,3.0,0.0,0.0,0.0,3.0,27246.78,81740.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,108,PINTURAS,PN,PINTURA,IPN960PTAZUL,PASTA AZUL,KG,64.0,0.0,0.0,0.0,64.0,13486.0,863104.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : PN,,,,,,nan,,,267.0,0.0,0.0,0.0,267.0,,944844.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 108,,,,,,nan,,,357.0,0.0,0.0,0.0,357.0,,944844.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL132T836WN,TUBO FLUO T8 36W/540 G13 LUZ DIA,UN,2.0,0.0,0.0,0.0,2.0,731.0,1462.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL13912MT00,BOQUILLA GALV B.C. 1 1/2,UN,503.0,0.0,0.0,0.0,503.0,299.0,150397.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL261CAD115,CARGA CADWELD 115,UN,21.0,0.0,0.0,0.0,21.0,7800.0,163800.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL320380V00,TOMA S/P 32A. 3P + 380V. IP-44 PCE,UN,5.0,0.0,0.0,0.0,5.0,5000.0,25000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL3312216LG,ENCHUFE HEMBRA VOLANTE 220 V  16A 2P+T,UN,69.0,0.0,0.0,0.0,69.0,4108.55,283490.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL3322216LG,ENCHUFE MACHO VOLANTE  220 V  16A 2P+T,UN,113.0,0.0,0.0,0.0,113.0,2228.72,251846.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL3353832LG,ENCHUFE HEMBRA VOLANTE 380 V  32A 3P+T,UN,58.0,0.0,0.0,0.0,58.0,6083.22,352827.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL463TIEBT5,CONJUNTO PUESTA A TIERRA DE BT,UN,4.0,0.0,0.0,0.0,4.0,108115.0,432460.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,113,ELECTRICOS,EL,ELECTRICO,IEL4783X16AH,ENCHUFE HEMBRA 3 X 16A,UN,215.0,0.0,0.0,0.0,215.0,874.0,187910.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : EL,,,,,,nan,,,990.0,0.0,0.0,0.0,990.0,,1849192.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 113,,,,,,nan,,,990.0,0.0,0.0,0.0,990.0,,1849192.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,115,GASES,GA,GAS,IGA32000NN01,GAS ATAL (MEZCLA),UN,8.0,0.0,0.0,0.0,8.0,95000.0,760000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : GA,,,,,,nan,,,8.0,0.0,0.0,0.0,8.0,,760000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 115,,,,,,nan,,,8.0,0.0,0.0,0.0,8.0,,760000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI0102016EL,PAPEL HIGIENICO 16 ROLLOS 20MT H/TRIPLE EL,UN,16.0,0.0,0.0,0.0,16.0,4980.0,79680.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI0105LTSKL,JABON LIQUIDO 5 LTS. ALMENDRA KLAREN,UN,7.0,0.0,0.0,0.0,7.0,6274.0,43918.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI010GUAN00,GUANTE DE LATEX AMARILLOS,UN,3.0,0.0,0.0,0.0,3.0,613.0,1839.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI010INSE00,INSECTICIDA MATA MOSCAS 360CC. RAID,UN,14.0,0.0,0.0,0.0,14.0,1860.0,26040.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI010MOPA00,MOPA MICROFIBRA C/MANGO COMPLETA FIBRO,UN,2.0,0.0,0.0,0.0,2.0,4542.86,9086.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI050ESCOBR,ESCOBILLON EXTERIOR SCTOCH BRITE,UN,18.0,0.0,0.0,0.0,18.0,25750.0,463500.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI060507000,BOLSA DE BASURA 50 X 70,UN,140.0,0.0,0.0,0.0,140.0,933.0,130620.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI060709000,BOLSA BASURA 70 X 90 CM,UN,319.0,0.0,0.0,0.0,319.0,692.72,220978.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI060801200,BOLSAS DE BASURA 80 X 120,UN,118.0,0.0,0.0,0.0,118.0,1071.49,126436.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI080NNNN00,CLORO,UN,2.0,0.0,0.0,0.0,2.0,4387.0,8774.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI090NNNN00,CLORO GEL,UN,19.0,0.0,0.0,0.0,19.0,4333.0,82327.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI120NNNN00,DESINFECTANTE AMBIENTAL,UN,11.0,0.0,0.0,0.0,11.0,3438.0,37818.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI130NNNN00,DESODORANTE AMBIENTAL,UN,11.0,0.0,0.0,0.0,11.0,1398.31,15381.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI160NNNN00,ESCOBILLON,UN,2.0,0.0,0.0,0.0,2.0,3528.0,7056.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI170000400,ESPONJA CLASICA,UN,10.0,0.0,0.0,0.0,10.0,831.0,8310.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,116,LAVADOS,LI,LIMPIEZA,ILI280NNNN00,LIMPIADOR PARA PISOS,UN,1.0,0.0,0.0,0.0,1.0,2497.5,2498.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : LI,,,,,,nan,,,693.0,0.0,0.0,0.0,693.0,,1264261.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 116,,,,,,nan,,,693.0,0.0,0.0,0.0,693.0,,1264261.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,118,PERNOS,,,A193PEHEX212,pernos hexagonal de 1 ½  x 8 hilos por pulgada x 2 ½ A193 B7,UN,50.0,0.0,0.0,0.0,50.0,18500.0,925000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,118,PERNOS,,,A316LPE1C6MY,PERNO HEXAGONAL 316L 1 1/4`` X 6 1/2'',UN,368.0,0.0,0.0,0.0,368.0,484.0,178112.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : Sin Sub Grupo,,,,,,nan,,,418.0,0.0,0.0,0.0,418.0,,1103112.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,118,PERNOS,PE,PERNO,IAZ32008NNMA,REMACHE TIPO POP 3.2X8MM,UN,3.0,0.0,0.0,0.0,3.0,16.0,48.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : PE,,,,,,nan,,,3.0,0.0,0.0,0.0,3.0,,48.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 118,,,,,,nan,,,421.0,0.0,0.0,0.0,421.0,,1103160.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT070ALPEMD,ALIMENTO PERRO ADULTO 18 KGS.  MASTER DOG,UN,3.1,0.0,0.0,0.0,3.1,25877.36,80220.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT100HS5049,RODAMIENTO MODELO HS5049B,UN,1.0,0.0,0.0,0.0,1.0,27950.0,27950.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT13100NN00,PISO PLASTICO COLORES,UN,1.0,0.0,0.0,0.0,1.0,1672.26,1672.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT1450NN01,PORTA TIZA MARCA METAL,UN,11.0,0.0,0.0,0.0,11.0,1990.0,21890.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT189NNNN00,DISPENSADOR TOALLA PAPEL,UN,3.0,0.0,0.0,0.0,3.0,65290.0,195870.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT200AMARIL,PLUMON MARCA METAL AMARILLO,UN,20.0,0.0,0.0,0.0,20.0,1505.04,30101.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT20304NN00,BROCHA ESTAMPA CERDA  4 IN,UN,1.0,0.0,0.0,0.0,1.0,2754.53,2755.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT223CHIS00,CHISPERO TIPO COPA,UN,15.0,0.0,0.0,0.0,15.0,1151.0,17265.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT224PIED00,PIEDRA PARA CHISPERO,UN,47.0,0.0,0.0,0.0,47.0,175.0,8225.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT228240NN0,ADHESIVO VINILIT TARRO C/O 240CC,UN,2.0,0.0,0.0,0.0,2.0,3440.33,6881.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT242AGOR00,CINTA TAPAGOTERAS AGOREX 10 MT,UN,2.0,0.0,0.0,0.0,2.0,20613.5,41227.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT294NN0000,CERRADURA BOLA DORMITORIO,UN,1.0,0.0,0.0,0.0,1.0,20925.0,20925.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT30055RB00,AMARRAS PLASTICAS 550x8.0,UN,89.0,0.0,0.0,0.0,89.0,252.0,22428.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT30130RB00,AMARRAS PLASTICAS 300x4.8,UN,88.0,0.0,0.0,0.0,88.0,59.0,5192.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOT301FCNN00,FLUIDO DE CORTE TAP MATIC 1 LTS,LT,2.0,0.0,0.0,0.0,2.0,25753.07,51506.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOTI0ZABOLSA,TIZA BOLSA 1 KG,UN,7.0,0.0,0.0,0.0,7.0,1317.43,9222.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOTI0ZACERAA,TIZA DE CERA,UN,561.0,0.0,0.0,0.0,561.0,790.0,443190.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOTLOCYRV243,PEGAMENTO LOCTITE PARA ENGOMADO,UN,4.0,0.0,0.0,0.0,4.0,7500.0,30000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOTMAXISACOS,MAXISACOS DE 1000 KILOS,UN,50.0,0.0,0.0,0.0,50.0,9990.0,499500.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,120,QUIMICOS,OT,OTROS,IOTTALCOINDU,TALCO INDUSTRIAL,UN,110.0,0.0,0.0,0.0,110.0,2923.0,321530.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : OT,,,,,,nan,,,1018.1,0.0,0.0,0.0,1018.1,,1837548.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 120,,,,,,nan,,,1018.1,0.0,0.0,0.0,1018.1,,1837548.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,121,SERVICIOS DE TERCERO,PP,SERVICIO PRUEBAS,SEPPINTIPE00,SERVICIO INSPECCION TINTAS PENETRANTES,UN,5.0,0.0,0.0,0.0,5.0,340000.0,1700000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : PP,,,,,,nan,,,5.0,0.0,0.0,0.0,5.0,,1700000.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,121,SERVICIOS DE TERCERO,QQ,SERVICIO MANTENCION EQUIPOS,SEQQBOSC1010,MANTENCION DE TALADRO CON BASE MACNETICA BOSCH,UN,1.0,0.0,0.0,0.0,1.0,59600.0,59600.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : QQ,,,,,,nan,,,1.0,0.0,0.0,0.0,1.0,,59600.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 121,,,,,,nan,,,6.0,0.0,0.0,0.0,6.0,,1759600.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,122,SOLDADURAS,BQ,BOQUILLA,IBQ22002NN00,BOQUILLA OXICORTE MANUAL N°2,UN,13.0,0.0,0.0,0.0,13.0,5309.91,69029.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,122,SOLDADURAS,BQ,BOQUILLA,IBQ22003NN00,BOQUILLA OXICORTE MANUAL N°3,UN,20.0,0.0,0.0,0.0,20.0,4069.25,81385.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,122,SOLDADURAS,BQ,BOQUILLA,IBQ22004NN00,BOQUILLA OXICORTE MANUAL N°4,UN,19.0,0.0,0.0,0.0,19.0,4051.79,76984.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,122,SOLDADURAS,BQ,BOQUILLA,IBQ22005NN00,BOQUILLA OXICORTE MANUAL N°5,UN,15.0,0.0,0.0,0.0,15.0,4682.97,70244.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,122,SOLDADURAS,BQ,BOQUILLA,IBQ24016NNCI,TOBERA MIG 16 MM TWECO  - 2362,UN,486.0,0.0,0.0,0.0,486.0,4202.21,2042274.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : BQ,,,,,,nan,,,553.0,0.0,0.0,0.0,553.0,,2339916.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Grupo : 122,,,,,,nan,,,553.0,0.0,0.0,0.0,553.0,,2339916.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,,,H300RGAR0000,REGULADOR ARGON,UN,8.0,0.0,0.0,0.0,8.0,37782.0,302256.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,,,H300RPCIMT01,REGULADOR FLUJOMETRO OXIGENO,UN,7.0,0.0,0.0,0.0,7.0,36410.57,254874.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,,,H300RPCIMT37,REGULADOR MANOMETRO PROPANO,UN,15.0,0.0,0.0,0.0,15.0,33312.2,499683.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : Sin Sub Grupo,,,,,,nan,,,30.0,0.0,0.0,0.0,30.0,,1056813.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,AZ,ABRAZADERA,IAZABRAZACEI,ABRAZADERA DE ACERO INOX,UN,3.0,0.0,0.0,0.0,3.0,798.0,2394.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
Total Sub Grupo : AZ,,,,,,nan,,,3.0,0.0,0.0,0.0,3.0,,2394.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
,,,,,,nan,,,,,,,,,,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,BC,BROCA,IBR70111SC00,BROCA ANULAR 11 MM,UN,9.0,0.0,0.0,0.0,9.0,9044.0,81396.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,BC,BROCA,IBR70114SC00,BROCA ANULAR 14 MM,UN,2.0,0.0,0.0,0.0,2.0,26408.11,52816.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,BC,BROCA,IBR70116SC00,BROCA ANULAR 16 MM,UN,5.0,0.0,0.0,0.0,5.0,32617.69,163088.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,BC,BROCA,IBR70117SCMK,BROCA ANULAR 17 MM,UN,6.0,0.0,0.0,0.0,6.0,27833.24,166999.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
SS,STOCK SUCURSAL LA CHIMBA,127,HERRAMIENTAS,BC,BROCA,IBR70118SCMK,BROCA ANULAR 18 MM,UN,6.0,0.0,0.0,0.0,6.0,25718.54,154311.0,SS_STOCK SUCURSAL LA CHIMBA.xlsx
