Cod. Producto,Producto,Stock Total - STOCK SUCURSAL LA CHIMBA,Stock Total - TERRENO,Disponible - STOCK SUCURSAL LA CHIMBA,Disponible - TERRENO,Stock Total Consolidado
IOT1450NN01,PORTA TIZA MARCA METAL,11.0,0.0,11.0,0.0,11.0
IOT188120140,YESO CARTON 15MM 1.20 X 2.40 BR,394.0,0.0,394.0,0.0,394.0
IOT189NNNN00,DISPENSADOR TOALLA PAPEL,3.0,0.0,3.0,0.0,3.0
IOT200AMARIL,PLUMON MARCA METAL AMARILLO,20.0,0.0,20.0,0.0,20.0
IOT20304NN00,BROCHA ESTAMPA CERDA  4 IN,1.0,0.0,1.0,0.0,1.0
IOT223CHIS00,CHISPERO TIPO COPA,15.0,0.0,15.0,0.0,15.0
IOT224PIED00,PIEDRA PARA CHISPERO,47.0,0.0,47.0,0.0,47.0
IOT228240NN0,ADHESIVO VINILIT TARRO C/O 240CC,2.0,0.0,2.0,0.0,2.0
IOT231FIBO00,DISCO DE FIBRA FS966 180X22 G.36 (BUBITRON),200.0,0.0,200.0,0.0,200.0
IOT242AGOR00,CINTA TAPAGOTERAS AGOREX 10 MT,2.0,0.0,2.0,0.0,2.0
IOT294NN0000,CERRADURA BOLA DORMITORIO,1.0,0.0,1.0,0.0,1.0
IOT30055RB00,AMARRAS PLASTICAS 550x8.0,89.0,0.0,89.0,0.0,89.0
IOT30130RB00,AMARRAS PLASTICAS 300x4.8,88.0,0.0,88.0,0.0,88.0
IOT301FCNN00,FLUIDO DE CORTE TAP MATIC 1 LTS,2.0,0.0,2.0,0.0,2.0
IOT302TAP124,TORNILLO AUTOPERFORANTE HEXAGONAL 1/2 X 4 IN ,481.0,0.0,481.0,0.0,481.0
IOTI0ZABOLSA,TIZA BOLSA 1 KG,7.0,0.0,7.0,0.0,7.0
IOTI0ZACERAA,TIZA DE CERA,561.0,0.0,561.0,0.0,561.0
IOTLOCYRV243,PEGAMENTO LOCTITE PARA ENGOMADO,4.0,0.0,4.0,0.0,4.0
IOTMAXISACOS,MAXISACOS DE 1000 KILOS,50.0,0.0,50.0,0.0,50.0
IOTTALCOINDU,TALCO INDUSTRIAL,110.0,0.0,110.0,0.0,110.0
IPN20700CCVM,CEMENTO COLA VULK MULTIUSO,200.0,0.0,200.0,0.0,200.0
IPN850120000,GEL DECAPANTE ACERO INOX 1200GRS,3.0,0.0,3.0,0.0,3.0
IPN960PTAZUL,PASTA AZUL,64.0,0.0,64.0,0.0,64.0
IPNIMPRIMA01,ADHESIVO IMPRIMANTE ANTICORROSIVO GRIS  MEGUN 3270,40.0,0.0,40.0,0.0,40.0
IPNIMPRIMA02,ADHESIVO IMPRIMANTE MEGUN 128 (UN 1993),40.0,0.0,40.0,0.0,40.0
ISL910000000,ANTI-SPATTER ANTISALPICADURAS 600ML (USO ACERO CARBONO),0.0,1.0,0.0,1.0,1.0
ISL9200G7018,ELECTRODO 7018 5/32 IN,0.8,0.0,0.8,0.0,0.8
ISL9200H6011,ELECTRODO 6011  3/32 in,0.7,5.0,0.7,5.0,5.7
ISL9200H7018,ELECTRODO 7018  3/32 in,0.0,5.0,0.0,5.0,5.0
ISL9200O6011,ELECTRODO 6011  1/8 in,112.75,0.0,112.75,0.0,112.75
ISL9200OSCLI,ELECTRODO 1/8in E6010 PARA CARBONO LINCONLN,150.0,0.0,150.0,0.0,150.0
ISL9300EST00,ALAMBRE SOLDADURA ESTAÑO,2.0,0.0,2.0,0.0,2.0
ISL9301270S6,"ALAMBRE SOLDADURA MIG SOLIDO 1,2MM  70S6",0.0,15.0,0.0,15.0,15.0
ISL9401271T1,ALAMBRE DE SOLDADURA E71T1 TUBULAR 1.2 MM MIG,380.0,195.0,380.0,195.0,575.0
ISL9401281N1,ALAMBRE DE SOLDADURA E81NI1 TUBULAR 1.2 MM MIG,0.0,30.0,0.0,30.0,30.0
ISL94012SSNN,ALAMBRE SOLDADURA 316L 1.2 MM SOLIDO,105.0,0.0,105.0,0.0,105.0
ISL9401681N1,ALAMBRE DE SOLDADURA E81NI1 TUBULAR 1.6 MM MIG,171.0,0.0,171.0,0.0,171.0
ISL9500HSSTG,TUNGSTENO 3/32in 5% TORIO PUNTO ROJO,0.0,8.0,0.0,8.0,8.0
ISL95024316L,APORTE TIG 3/32 - 316L,2.0,0.0,2.0,0.0,2.0
ISL970240000,ALAMBRE ARCO SUMERGIDO 2.4MM,50.0,0.0,50.0,0.0,50.0
ISL981SOLD0M,SOLDADURA ALAMBRE 50% X 1/2 ( ROLLO),2.0,0.0,2.0,0.0,2.0
ISLGRAFITO10,GRAFITO 3/8 x 12IN (10mm x 305mm),250.0,0.0,250.0,0.0,250.0
ISLGRAFITO65,GRAFITO 1/4 x 12IN (6.5mm x 305mm),500.0,0.0,500.0,0.0,500.0
RODILLOCHI00,RODILLO CHIPORRO ,50.0,0.0,50.0,0.0,50.0
SEPPINTIPE00,SERVICIO INSPECCION TINTAS PENETRANTES,5.0,0.0,5.0,0.0,5.0
SEQQBOSC1010,MANTENCION DE TALADRO CON BASE MACNETICA BOSCH,1.0,0.0,1.0,0.0,1.0
