Cod. Producto,Producto,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock - TERRENO,Stock Total Consolidado
CA234RC10W08,REDUCCIÓN CONCENTRICA  10in - 08in WELDING SCH14,0.0,2.0,0.0,2.0
CA234TE03000,TEE RECTA 3 in A234 SCH 40,0.0,7.0,0.0,7.0
CA234TE06000,TEE RECTA 6 in A-234 SCH40,0.0,5.0,0.0,5.0
CA234TE14W04,TEE RECTA 14 in A-234 SCH40,0.0,1.0,0.0,1.0
CA234TEEA403,TEE RECTA 4 in A-234 SCH 40,0.0,4.0,0.0,4.0
CA234TR08W06,TEE REDUCCION A-234 08in X 6in SCH40,0.0,2.0,0.0,2.0
CA234TR14W10,REDUCCION CONCENTRICA A-234 14 in X 10i n SCH40,0.0,1.0,0.0,1.0
CA234TRC4212,REDUCCION CONCENTRICA A-234 SCH-40 4X2  1/2,0.0,1.0,0.0,1.0
CA325PES2MY0,PERNO HEXAGONAL A-325 7/8 X 2 1/2'',0.0,297.0,0.0,297.0
CAZINES0QS34,ESPARRAGO 3/4 ZINCADO ,66.0,0.0,0.0,66.0
CF436GOSQS01,GOLILLA PLANA F-436 1,20.0,0.0,0.0,20.0
CGR02TU0ZI00,TUERCA HEXAGONAL  G°2  3/4 in ZINC,295.0,0.0,0.0,295.0
CGR02TU0ZI58,TUERCA HEXAGONAL  G°2  5/8 in ZINC,200.0,0.0,0.0,200.0
E100ALKEVL04,ARNES 4 ARGOLLAS DE KEVLAR MSA,5.0,0.0,0.0,5.0
E100AN000005,CASQUETE PORTAVISOR CON ARNES CABEZA PARA PANTALLA 8 X 16,5.0,2.0,0.0,7.0
E100AN000006,MICA PARA PULIR 8 X 16 CLARO BORDE ALUMINIO,0.0,0.0,30.0,30.0
E100ANVISO06,VISOR 8X16 CLARO BORDE ALUMINIO,268.0,0.0,0.0,268.0
E100BS000003,PUNTERAS DE SEGURIDAD,1.0,0.0,0.0,1.0
E100CA000001,CASCO DE SEGURIDAD,0.0,6.0,0.0,6.0
E100CAPROT03,CASCO BLANCO PROSEG,2.0,0.0,0.0,2.0
E100CASMAU08,PROTECTOR AUDITIVO P/CASCO,7.0,0.0,0.0,7.0
E100F1003M07,FILTRO 2091 (P100) - 3M CONTRA PARTICULAS,0.0,183.0,0.0,183.0
E100FI000009,FILTRO AIR F200CP3 - CONTRA PARTICULAS Y VAPORES,0.0,6.0,0.0,6.0
E100FI003M04,FILTRO 60923 3M / F600VGP3 AIR - CONTRA GASES Y VAPORES,0.0,6.0,0.0,6.0
E100FI0M0001,RESPIRADOR MEDIO ROSTRO,8.0,10.0,0.0,18.0
E100LE000002,LENTES OSCUROS,11.0,4.0,0.0,15.0
E100MSFULL03,MASCARA FULL FACE 6800 3M,2.0,0.0,0.0,2.0
E100MSRECS00,RESPIRADOR ELIPSE COMPLETO SPR,2.0,0.0,0.0,2.0
E100PA000003,TAPON AUDITIVO REUTILIZABLE,0.0,224.0,0.0,224.0
E100PA003M02,TAPON AUDITIVO ESPUMA - 3 M,0.0,41.0,0.0,41.0
E100VD000002,VIDRIO SOLDADOR NEGRO,0.0,525.0,0.0,525.0
E100VD000007,PACK VISORES MASCARA DE SOLDAR STEELPRO,1.0,37.0,30.0,68.0
E100VD000010,MASCARA DE SOLDAR,0.0,24.0,0.0,24.0
E100VDBLAC01,VIDRIO SOLDADOR TRANSPARENTE - MASCARA NORMAL,0.0,763.0,0.0,763.0
E100VDBLAC04,MICA PARA CARETA FACIAL PARA CASQUETE AMARILLO,24.0,0.0,0.0,24.0
E100VDNEGR10,VIDRIO SOLDADOR NEGRO GRADO 10,0.0,86.0,0.0,86.0
E100VDNEGR12,VIDRIO SOLDADOR NEGRO GRADO 12,0.0,95.0,0.0,95.0
E100VDOPTE03,MASCARA DE SOLDAR FOTOSENSIBLE STEELPRO OPTECH,0.0,1.0,0.0,1.0
E200AL000009,ANCLAJE DE CABLE SUSPENDIDO,3.0,0.0,0.0,3.0
E200GU000007,GUANTE DE NITRILO VERDE,0.0,100.0,0.0,100.0
E200GUANCO16,GUANTES ANTI CORTES,0.0,6.0,0.0,6.0
E200GUNNNN05,GUANTES DE LATEX,1.0,0.0,0.0,1.0
E200GUNNNN06,GUANTES DE NITRILO - GOMA,0.0,7.0,0.0,7.0
E200GUOOOOO4,GUANTES DE CABRITILLA  PUÑO LARGO,39.0,8.0,36.0,83.0
E200GUPROM01,GUANTES DE CABRITILLA PUÑO CORTO,9.0,50.0,0.0,59.0
E200GUPROM10,GUANTE SOLDADOR ROJO,0.0,19.0,0.0,19.0
E200GUSOLAZU,GUANTES SOLDADOR,0.0,15.0,0.0,15.0
E200PROSOL00,PROTECTOR SOLAR 1 LT,1.0,0.0,0.0,1.0
E300BS000001,BOTIN SEGURIDAD DAMA,2.0,0.0,0.0,2.0
E300BS000002,BOTIN DE SEGURIDAD VARON,2.0,0.0,0.0,2.0
E300BUNNNN05,OVEROL TELE ANTIACIDA,0.0,4.0,0.0,4.0
E300CQWORK03,IN - CHAQUETA POLAR VARON,0.0,2.0,0.0,2.0
E400BUBLAC03,BUZO PAPEL BLANCO,87.0,31.0,0.0,118.0
E400CM000006,CAMISA MEZCLILLA VARON,0.0,90.0,0.0,90.0
E400PC00XXL4,CONJUNTO PRIMERA CAPA POLIESTER T/XXL,0.0,2.0,0.0,2.0
E400PO000004,POLERA PIQUE M/LARGA AZUL VARON,2.0,0.0,0.0,2.0
E400PO000009,POLERA PIQUE M/CORTA DAMA,2.0,0.0,0.0,2.0
E400PTBLKW01,PANTALON DE MEZCLILLA,20.0,0.0,0.0,20.0
E400SDALFA01,PANTALON SOLDADOR CUERO,0.0,12.0,0.0,12.0
E400SDKEVL02,CHAQUETA SOLDADOR DE CUERO,1.0,0.0,0.0,1.0
E400SDKEVL04,COLETO DE CUERO,2.0,5.0,0.0,7.0
E400SDMAOT01,CHAQUETA SOLDADOR CUERO MAO TENMIX,0.0,3.0,0.0,3.0
E400SDPROM03,POLAINAS DE CUERO,3.0,0.0,0.0,3.0
E500BLAPRO02,PINZA DE BLOQUEO,76.0,0.0,0.0,76.0
E500BLLOCK01,CANDADO BLOQUEO AMERICAN LOCK,27.0,6.0,0.0,33.0
E500IZ000001,ESLINGA RACHET 1 MT ( CHICHARRA),1.0,0.0,0.0,1.0
E500OT000008,MUÑEQUERA PORTA HERRAMIENTAS,8.0,0.0,0.0,8.0
E500OTRODI19,RODILLERA,0.0,5.0,0.0,5.0
E500PX003M02,BOTIQUIN PRIMEROS AUXILIOS,1.0,0.0,0.0,1.0
H100AV000002,CORTA CORRIENTE,1.0,0.0,0.0,1.0
H100AV000026,CUÑAS POULIRETANO,4.0,0.0,0.0,4.0
H100AV000027,BARRA,1.0,0.0,0.0,1.0
H100AVQUIN17,TRIANGULO REFLECTANTE PARA CAMIONETA,4.0,0.0,0.0,4.0
H100FI000014,FILTRO AIRE,1.0,0.0,0.0,1.0
H100FI00CO14,FILTRO 2 1/2COBRE PN 16 BSP,1.0,0.0,0.0,1.0
H100RP000005,MOTOR,3.0,0.0,0.0,3.0
H100RP000028, SEPARADOR DE RUEDA PARA GRUA HORQUILLA,60.0,0.0,0.0,60.0
H200EL000017,TALADRO INALAMBRICO,0.0,1.0,0.0,1.0
H200ELESCM00,ESCAREADOR NEUMATICO PARA LIMPIENZA DE SALPICADURA DE SOLD.,0.0,1.0,0.0,1.0
H200ELMAKI02,ESMERIL ANGULAR 7IN MAKITA 2200W,2.0,0.0,0.0,2.0
H200ELMAKI10,ESMERIL ANGULAR 4 1/2  9557HP MAKITA,1.0,0.0,0.0,1.0
H200ELMK0005,BATERIA DE MOCHILA PDC1200A02 + ADAPTADOR,1.0,0.0,0.0,1.0
H300RGAR0000,REGULADOR ARGON,0.0,8.0,0.0,8.0
H300RM000006,LINER MIG 1.2 - 1.6,0.0,6.0,0.0,6.0
H300RM000043,VALVULA ANTIRRETROCESO REGULADOR GAS,3.0,2.0,0.0,5.0
H300RM000044,VALVULA ANTIRRETROCESO REGULADOR OXIGENO,2.0,2.0,0.0,4.0
H300RM000045,VALVULA ANTIRRETROCESO SOPLETE GAS,0.0,1.0,0.0,1.0
H300RM070003,JUEGO DE CARBONES ESMERIL ANGULAR 7-DEWALT,12.0,0.0,0.0,12.0
H300RM4M0002,JUEGO DE CARBONES ESMERIL ANGULAR 4 1/2 - DEWALT,12.0,0.0,10.0,22.0
H300RM721808,JUEGO CARBONES B-218 ESMERIL 7 - MAKITA,3.0,0.0,0.0,3.0
H300RMCIMT24,TORCHA (PISTOLA) MIG TW400 4.5 METROS,2.0,0.0,0.0,2.0
H300RMELEC33,PORTA ELECTRODO 300 AMP,0.0,6.0,0.0,6.0
H300RMINTDIF,INTERRUPTOR DIFERENCIAL 25A AC 30MA,0.0,4.0,0.0,4.0
H300RMLIND49,DEPOSITO PLASTICO CODIGO 0009802609,2.0,0.0,0.0,2.0
H300RMNN0047,ADAPTADOR MANDRIL UNF 1/2-20 X 3/4,4.0,0.0,0.0,4.0
H300RMSOLT38,PINZA TOMA TIERRA 500 AMP,5.0,0.0,0.0,5.0
H300RMTORC43,JUEGO DE CARBONES MAQUINA TORCH,300.0,0.0,0.0,300.0
H300RPCIMT01,REGULADOR FLUJOMETRO OXIGENO,0.0,7.0,0.0,7.0
H300RPCIMT19,TORCHA TIG WP17V DUAL 4 MT,499.0,0.0,0.0,499.0
H300RPCIMT37,REGULADOR MANOMETRO PROPANO,0.0,15.0,0.0,15.0
H400MANGUPQS,MANGUERA PQS,0.0,45.0,0.0,45.0
H400MQ000007,PUENTE GRUA 10 TONELADAS,0.0,4.0,0.0,4.0
H400MQ000022,PISTOLA MIG,0.0,2.0,0.0,2.0
H400MQ000023,PORTA POWER,1.0,0.0,0.0,1.0
H400MQ000033,CIZALLA UNIVERSAL,1.0,0.0,0.0,1.0
