Cod. Producto,Producto,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock - TERRENO,Stock Total Consolidado
IAZ4300MSC00,ABRAZADERA 1/2,8.0,0.0,0.0,8.0
IAZABRAZACEI,ABRAZADERA DE ACERO INOX,16.0,3.0,0.0,19.0
IBQ1394MSC00,GRATA PLANA ONDULADA CON VASTAGO ACERO CARBONO 4 1/2 in,0.0,181.0,0.0,181.0
IBQ21000NNCC,BOQUILLA PLASMA 9-8212 (90-100),50.0,0.0,0.0,50.0
IBQ21000NNCM,BOQUILLA OXICORTE CNC 106-0 (5-10) KOIKE PROPANO,1.0,0.0,0.0,1.0
IBQ21001NNCM,BOQUILLA OXICORTE CNC 106-1 (10-15) KOIKE PROPANO,1.0,0.0,0.0,1.0
IBQ21003NNCM,BOQUILLA OXICORTE CNC 106-3 (30-40) KOIKE PROPANO,1.0,0.0,0.0,1.0
IBQ21010NN00,BOQUILLA PLASMA 9-8253 (100-120),30.0,0.0,0.0,30.0
IBQ211008237,SHIED CUP BODY 9-8237 SOLTEC,20.0,0.0,0.0,20.0
IBQ21100NNLL,BOQUILLA STARTER CARTRIDGE 9-8213,13.0,0.0,0.0,13.0
IBQ21400NN00,CASQUILLO PROTECTOR 9-8239 / PUNTA DE ARRASTRE 70-100,20.0,0.0,0.0,20.0
IBQ214825600,CASQUILLO PROTECTOR 9-8256 / PUNTA DE ARRASTRE 100-120,1.0,0.0,0.0,1.0
IBQ22001NN00,BOQUILLA OXICORTE MANUAL N°1,2.0,0.0,0.0,2.0
IBQ22002NN00,BOQUILLA OXICORTE MANUAL N°2,0.0,13.0,0.0,13.0
IBQ22003NN00,BOQUILLA OXICORTE MANUAL N°3,0.0,20.0,0.0,20.0
IBQ22004NN00,BOQUILLA OXICORTE MANUAL N°4,0.0,19.0,0.0,19.0
IBQ22005NN00,BOQUILLA OXICORTE MANUAL N°5,0.0,15.0,0.0,15.0
IBQ22006NN00,BOQUILLA OXICORTE MANUAL N°6,9.0,0.0,0.0,9.0
IBQ23016NN00,BOQUILLA MIG 1.6 MM,0.0,296.0,0.0,296.0
IBQ23109CRCM,TOBERA CERÁMICA TIG N09,18.0,0.0,0.0,18.0
IBQ23110CRCM,TOBERA CERÁMICA TIG N10,18.0,0.0,0.0,18.0
IBQ2314MSC00,GRATA COPA ONDULADA ACERO CARBONO PARA ESMERIL DE 4 ½,20.0,0.0,0.0,20.0
IBQ23216NN00,DIFUSOR MIG 54A PISTOLAR DE SOLDAR ,107.0,0.0,0.0,107.0
IBQ24016NNCI,TOBERA MIG 16 MM TWECO  - 2362,1.0,486.0,0.0,487.0
IBQ25016NN00,BOQUILLA PISTOLA MIG 1.6,0.0,86.0,0.0,86.0
IBQ25124NN00,BOQUILLA 2.4 P/ARCO SUMERGIDO,10.0,0.0,0.0,10.0
IBQ25300NN00,CARTUCHO DE INICIO 9-8213,6.0,0.0,0.0,6.0
IBQ28211NNCC,BOQUILLA PLASMA 9-8211,3.0,0.0,0.0,3.0
IBR70111SC00,BROCA ANULAR 11 MM,0.0,9.0,0.0,9.0
IBR70114SC00,BROCA ANULAR 14 MM,0.0,2.0,0.0,2.0
IBR70116SC00,BROCA ANULAR 16 MM,0.0,5.0,0.0,5.0
IBR70117SCMK,BROCA ANULAR 17 MM,1.0,6.0,0.0,7.0
IBR70118SCMK,BROCA ANULAR 18 MM,2.0,6.0,0.0,8.0
IBR70119SC00,BROCA ANULAR 19 MM,0.0,7.0,0.0,7.0
IBR70120SC00,BROCA ANULAR 20 MM,0.0,8.0,0.0,8.0
IBR70121SC00,BROCA ANULAR 21 MM,2.0,7.0,0.0,9.0
IBR70122SCMK,BROCA ANULAR 22 MM,0.0,6.0,0.0,6.0
IBR70125SCMW,BROCA ANULAR 25 MM,0.0,1.0,0.0,1.0
IBR70126SCMK,BROCA ANULAR 26 MM,0.0,7.0,0.0,7.0
IBR70127SCMK,BROCA ANULAR 27 MM,0.0,3.0,0.0,3.0
IBR70129SCMK,BROCA ANULAR 29 MM,0.0,6.0,0.0,6.0
IBR70130SCMK,BROCA ANULAR 30 MM,1.0,1.0,0.0,2.0
IBR70132SCMK,BROCA ANULAR 32 MM,0.0,2.0,0.0,2.0
IBR70140SC00,BROCA ANULAR 40 MM,0.0,4.0,0.0,4.0
IBR70142SC00,BROCA ANULAR 42 MM,1.0,0.0,0.0,1.0
IBR70150SCMK,BROCA ANULAR 50 MM,0.0,3.0,0.0,3.0
IBR70319SC00,BROCA SDS 19MM (HORMIGON),1.0,0.0,0.0,1.0
IBR70322SC00,BROCA SDS 22MM (HORMIGON),3.0,0.0,0.0,3.0
IBR70322SC70,BROCA SDS 70MM  (HORMIGON),1.0,0.0,0.0,1.0
IBR7071200MK,BROCA SDS PLUS 12 MM ,0.0,4.0,0.0,4.0
IBR71004SS00,BROCA CILINDRICA COBALTO 04 MM,0.0,15.0,0.0,15.0
IBR71005SS00,BROCA CILINDRICA COBALTO 05 MM,0.0,15.0,0.0,15.0
IBR71006SS00,BROCA CILINDRICA COBALTO 06 MM,0.0,11.0,0.0,11.0
IBR71012NN00,BROCA SDS CONCRETO 12MM (HORMIGON),0.0,12.0,0.0,12.0
IBR71014SSDR,BROCA CILINDRICA COBALTO 14 MM,0.0,13.0,0.0,13.0
IBR71019SC00,BROCA CILINDRICA HSS 19 MM,4.0,2.0,0.0,6.0
IBR71022SC00,BROCA CILINDRICA HSS 22 MM,1.0,0.0,0.0,1.0
IBR71042SC00,BROCA CILINDRICA HSS 42 MM,1.0,0.0,0.0,1.0
IBR71101NN00,FLUIDO DE CORTE TAP MATIC- 500 CC,9.0,0.0,0.0,9.0
IBR713050000,BROCA HSS REBAJADA 7/8in,3.0,0.0,0.0,3.0
IBR71516SCMK,BROCA PALETA MADERA 16 MM,0.0,2.0,0.0,2.0
IBR71600NN00,BROCA FIERRO,0.0,13.0,0.0,13.0
ICP14700NN02,Memoria RAM,2.0,0.0,0.0,2.0
ICP16600NN00,CONECTOR ANTENA,0.0,50.0,0.0,50.0
IEL020383205,ENCHUFE MACHO VOLANTE IND. 380 V  32A 3P+T+N,0.0,7.0,0.0,7.0
IEL040383204,ENCHUFE HEMBRA IND. S/P 380 V  32A 3P+T,3.0,0.0,0.0,3.0
IEL040383205,ENCHUFE HEMBRA IND. S/P 380 V  32A 3P+T+N,0.0,26.0,0.0,26.0
IEL060300W00,FOCO LED 300 WATTS- TIPO TUBO,3.0,0.0,0.0,3.0
IEL132T836WN,TUBO FLUO T8 36W/540 G13 LUZ DIA,0.0,2.0,0.0,2.0
IEL13500MT00,CAJA FUERTE,1.0,0.0,0.0,1.0
IEL13912MT00,BOQUILLA GALV B.C. 1 1/2,0.0,503.0,0.0,503.0
IEL23COINN00,INTERRUPTO CORTA CORRIENTE 24V,1.0,0.0,0.0,1.0
IEL241HBRA10,TOMA DE CORRIENTE TRIPLE 10 A HEMBRA,6.0,0.0,0.0,6.0
IEL261CAD115,CARGA CADWELD 115,0.0,21.0,0.0,21.0
IEL320380V00,TOMA S/P 32A. 3P + 380V. IP-44 PCE,0.0,5.0,0.0,5.0
IEL320380V01,SOQUETE 32 A-380V/ PORTA FOCO,3.0,0.0,0.0,3.0
IEL3312216LG,ENCHUFE HEMBRA VOLANTE 220 V  16A 2P+T,0.0,69.0,0.0,69.0
IEL3322216LG,ENCHUFE MACHO VOLANTE  220 V  16A 2P+T,0.0,113.0,0.0,113.0
IEL3353832LG,ENCHUFE HEMBRA VOLANTE 380 V  32A 3P+T,0.0,58.0,0.0,58.0
IEL3363832LG,ENCHUFE MACHO VOLANTE  380 V  32A 3P+T,12.0,0.0,0.0,12.0
IEL4013MTS00,ALARGADOR MULTIPLE 3MTS,1.0,0.0,0.0,1.0
IEL4068930NN,CAJA CHUQUI PLASTICA SOBREPUESTA,7.0,0.0,0.0,7.0
IEL407220VNN,ENCHUFE MULTIPLE 220V,17.0,0.0,0.0,17.0
IEL407380VNN,ENCHUFE MULTIPLE 380V,6.0,0.0,0.0,6.0
IEL407CONE00,CONECTOR EURO HEMBRA MIG HREAMB 1PC (MAX),2.0,0.0,0.0,2.0
IEL463TIEBT5,CONJUNTO PUESTA A TIERRA DE BT,0.0,4.0,0.0,4.0
IEL477LED18W,FOCO EMBUTIDO LED 18 W REDONDO 6000K,1.0,0.0,0.0,1.0
IEL4783X16AH,ENCHUFE HEMBRA 3 X 16A,0.0,215.0,0.0,215.0
IEL51315NNEK,LAMPARA AHORRO ENERGÍA FL 150W E-40,2.0,0.0,0.0,2.0
IEM540CINTRB,CINTA EMBALAJE TRANSPARENTE,7.0,71.0,0.0,78.0
IEM55042MD00,MADERA DIMENSIONADO VERDE 4 X2 X 3200,0.0,100.0,0.0,100.0
IEM56003SCNN,CLAVO 3'',0.0,3.0,0.0,3.0
IEM56004NN00,CLAVO 4 PLG,0.0,50.0,0.0,50.0
IEM56004SCNN,CLAVO 4'',0.0,2.0,0.0,2.0
IEM56006NN00,CLAVO 6 PLG,0.0,2.0,0.0,2.0
IEM5603MNN00,CLAVO 3 1/2 PLG,8.0,0.0,0.0,8.0
IEN030NNNN00,"HUAWEI, INVERSOR ONGRIF TRIFASICO, 100KW, IP65, VERSION M2",0.0,0.1,0.9,1.0
IEN040NNNN00,"HUAWEI, INVERSOR HIBRIDO TRIFASICO, 50KW, IP65, VERSION 3M",0.0,1.0,0.0,1.0
IEN050NNNN00,"HUAWEI, SMART DONGLE WLAN-FE (10/100 MBIT PORT)",0.0,1.0,0.0,1.0
IGA32000NN01,GAS ATAL (MEZCLA),0.0,8.0,0.0,8.0
ILI0102016EL,PAPEL HIGIENICO 16 ROLLOS 20MT H/TRIPLE EL,0.0,16.0,0.0,16.0
ILI0105LTSKL,JABON LIQUIDO 5 LTS. ALMENDRA KLAREN,0.0,7.0,0.0,7.0
ILI010GUAN00,GUANTE DE LATEX AMARILLOS,0.0,3.0,0.0,3.0
ILI010INSE00,INSECTICIDA MATA MOSCAS 360CC. RAID,0.0,14.0,0.0,14.0
ILI010MOPA00,MOPA MICROFIBRA C/MANGO COMPLETA FIBRO,0.0,2.0,0.0,2.0
ILI030RVGONN,RENOVADOR DE GOMA TINTA VULK P/PNEUS,0.0,10.0,0.0,10.0
ILI050ESCOBR,ESCOBILLON EXTERIOR SCTOCH BRITE,0.0,18.0,0.0,18.0
ILI060507000,BOLSA DE BASURA 50 X 70,0.0,140.0,0.0,140.0
ILI060709000,BOLSA BASURA 70 X 90 CM,0.0,319.0,0.0,319.0
ILI060801200,BOLSAS DE BASURA 80 X 120,0.0,118.0,0.0,118.0
ILI080NNNN00,CLORO,11.0,2.0,0.0,13.0
ILI090NNNN00,CLORO GEL,0.0,19.0,0.0,19.0
ILI120NNNN00,DESINFECTANTE AMBIENTAL,0.0,11.0,0.0,11.0
ILI130NNNN00,DESODORANTE AMBIENTAL,0.0,11.0,0.0,11.0
ILI160NNNN00,ESCOBILLON,0.0,2.0,0.0,2.0
ILI170000400,ESPONJA CLASICA,0.0,10.0,0.0,10.0
ILI280NNNN00,LIMPIADOR PARA PISOS,0.0,1.0,0.0,1.0
ILI430NNNN00,DISPENSADOR,12.0,0.0,0.0,12.0
ILICLOROTABL,CLORO TABLETAS,15.0,0.0,0.0,15.0
ILISETPAMICR,SET PAÑO DE MICROFIBRA CUN1,0.0,9.0,0.0,9.0
IOT070ALPEMD,ALIMENTO PERRO ADULTO 18 KGS.  MASTER DOG,0.0,3.1,0.0,3.1
IOT100HS5049,RODAMIENTO MODELO HS5049B,0.0,1.0,0.0,1.0
IOT117180N00,RODILLO 180MM,0.0,50.0,0.0,50.0
IOT13100NN00,PISO PLASTICO COLORES,0.0,1.0,0.0,1.0
IOT1450NN01,PORTA TIZA MARCA METAL,15.0,11.0,0.0,26.0
IOT188120140,YESO CARTON 15MM 1.20 X 2.40 BR,0.0,394.0,0.0,394.0
IOT189NNNN00,DISPENSADOR TOALLA PAPEL,0.0,3.0,0.0,3.0
IOT1955000NN,AMARRAS PLASTICA  500 X 0.9 MM,100.0,0.0,0.0,100.0
IOT195760NN9,AMARRAS PLASTICAS  760 X 0.9 MM,500.0,0.0,0.0,500.0
IOT19901NN00,TEFLON 1inx0.75mm x 10Mts.,59.0,0.0,0.0,59.0
IOT200AMARIL,PLUMON MARCA METAL AMARILLO,0.0,20.0,0.0,20.0
IOT20301NN00,BROCHA ESTAMPA CERDA  1 IN,1.0,0.0,0.0,1.0
IOT20304NN00,BROCHA ESTAMPA CERDA  4 IN,0.0,1.0,0.0,1.0
IOT20425NN00,TIERRA PARA TIZADORES ,2.0,0.0,0.0,2.0
IOT20900NN00,BOQUILLAS DE RPTO ALCOTEST DEGITAL 10UN,13.0,0.0,0.0,13.0
IOT218IGNI00,MANTA IGNIFUGA,2.0,0.0,0.0,2.0
IOT221SPOT00,SPOTCHECK AEROSOL REVELADOR SKD-S2 330GR,30.0,0.0,0.0,30.0
IOT223CHIS00,CHISPERO TIPO COPA,0.0,15.0,0.0,15.0
IOT224PIED00,PIEDRA PARA CHISPERO,0.0,47.0,0.0,47.0
IOT228240NN0,ADHESIVO VINILIT TARRO C/O 240CC,0.0,2.0,0.0,2.0
IOT231FIBO00,DISCO DE FIBRA FS966 180X22 G.36 (BUBITRON),0.0,200.0,0.0,200.0
IOT242AGOR00,CINTA TAPAGOTERAS AGOREX 10 MT,0.0,2.0,0.0,2.0
IOT242SENN00,ROLLOS CINTAS SELLADORES,1.0,0.0,0.0,1.0
IOT243PH225M,PUNTA PHILLIPS X 25MM,4.0,0.0,0.0,4.0
IOT289PCNN00,PIEDRA CHISPERO,4.0,0.0,0.0,4.0
IOT294NN0000,CERRADURA BOLA DORMITORIO,0.0,1.0,0.0,1.0
IOT295ALGU00,ALGUICIDA 1 LT,3.0,0.0,0.0,3.0
IOT30055RB00,AMARRAS PLASTICAS 550x8.0,39.0,89.0,0.0,128.0
IOT30130RB00,AMARRAS PLASTICAS 300x4.8,0.0,88.0,0.0,88.0
IOT301FCNN00,FLUIDO DE CORTE TAP MATIC 1 LTS,0.0,2.0,0.0,2.0
IOT302TAP124,TORNILLO AUTOPERFORANTE HEXAGONAL 1/2 X 4 IN ,0.0,481.0,0.0,481.0
IOTCANOISTER,CANDADO OISTER,4.0,0.0,0.0,4.0
IOTI0ZABOLSA,TIZA BOLSA 1 KG,0.0,7.0,0.0,7.0
IOTI0ZACERAA,TIZA DE CERA,0.0,561.0,0.0,561.0
IOTLOCYRV243,PEGAMENTO LOCTITE PARA ENGOMADO,0.0,4.0,0.0,4.0
IOTMANGNNCO0,MANGA COLECTORA/FILTRO COLECTOR ,1.0,0.0,0.0,1.0
IOTMAXISACOS,MAXISACOS DE 1000 KILOS,0.0,50.0,0.0,50.0
IOTSILLAESCR,SILLA DE ESCRITORIO,2.0,0.0,0.0,2.0
IOTTALCOINDU,TALCO INDUSTRIAL,0.0,110.0,0.0,110.0
IPN20700CCVM,CEMENTO COLA VULK MULTIUSO,0.0,200.0,0.0,200.0
IPN850120000,GEL DECAPANTE ACERO INOX 1200GRS,0.0,3.0,0.0,3.0
IPN90043NNRU,PINTURA ESMALTE SPRAY,7.0,0.0,0.0,7.0
IPN960PTAZUL,PASTA AZUL,0.0,64.0,0.0,64.0
IPNIMPRIMA01,ADHESIVO IMPRIMANTE ANTICORROSIVO GRIS  MEGUN 3270,0.0,40.0,0.0,40.0
IPNIMPRIMA02,ADHESIVO IMPRIMANTE MEGUN 128 (UN 1993),0.0,40.0,0.0,40.0
ISL316L12000,ALAMBRE DE SOLDADURA 316L TUBULAR 1.2 MM,45.0,0.0,0.0,45.0
ISL910000000,ANTI-SPATTER ANTISALPICADURAS 600ML (USO ACERO CARBONO),0.0,0.0,1.0,1.0
ISL9200G7018,ELECTRODO 7018 5/32 IN,45.0,0.8,0.0,45.8
ISL9200G7P12,ELECTRODO BRONCE P12-R BAS 1/8,5.0,0.0,0.0,5.0
ISL9200H2507,ELECTRODO SUPER DUPLEX 2507 3/32in,135.0,0.0,0.0,135.0
ISL9200H6011,ELECTRODO 6011  3/32 in,0.0,0.7,5.0,5.7
ISL9200H7018,ELECTRODO 7018  3/32 in,0.0,0.0,5.0,5.0
ISL9200HSS00,ELECTRODO 316L 3/32in,9.0,0.0,0.0,9.0
ISL9200O6011,ELECTRODO 6011  1/8 in,0.0,112.75,0.0,112.75
ISL9200O7018,ELECTRODO 7018  1/8  in,2.0,0.0,0.0,2.0
ISL9200OSCLI,ELECTRODO 1/8in E6010 PARA CARBONO LINCONLN,0.0,150.0,0.0,150.0
ISL92025NN00,"ELECTRODO 2,5MM NICRMO3 DUPLEX",5.0,0.0,0.0,5.0
ISL93009316L,ALAMBRE SOLDADURA MIG SOLIDO 0.9MM 316L,15.0,0.0,0.0,15.0
ISL9300EST00,ALAMBRE SOLDADURA ESTAÑO,2.0,2.0,0.0,4.0
ISL9301270S6,"ALAMBRE SOLDADURA MIG SOLIDO 1,2MM  70S6",0.0,0.0,15.0,15.0
ISL94012316L,ALAMBRE DE SOLDADURA 316L TUBULAR 1.2 MM MIG,60.0,0.0,0.0,60.0
ISL9401271T1,ALAMBRE DE SOLDADURA E71T1 TUBULAR 1.2 MM MIG,0.0,380.0,195.0,575.0
ISL9401281N1,ALAMBRE DE SOLDADURA E81NI1 TUBULAR 1.2 MM MIG,0.0,0.0,30.0,30.0
ISL94012SS00,ALAMBRE SOLDADURA MIG TUBULAR 1.2 MM 316L,30.0,0.0,0.0,30.0
ISL94012SSNN,ALAMBRE SOLDADURA 316L 1.2 MM SOLIDO,0.0,105.0,0.0,105.0
ISL9401681N1,ALAMBRE DE SOLDADURA E81NI1 TUBULAR 1.6 MM MIG,0.0,171.0,0.0,171.0
ISL9500HSS00,TUNGSTENO 3/32in 5% TORIO PUNTO VERDE,6.0,0.0,0.0,6.0
ISL9500HSSTG,TUNGSTENO 3/32in 5% TORIO PUNTO ROJO,0.0,0.0,8.0,8.0
ISL95024316L,APORTE TIG 3/32 - 316L,0.0,2.0,0.0,2.0
ISL970240000,ALAMBRE ARCO SUMERGIDO 2.4MM,0.0,50.0,0.0,50.0
ISL981SOLD0M,SOLDADURA ALAMBRE 50% X 1/2 ( ROLLO),0.0,2.0,0.0,2.0
ISL983K4000C,TORCHADOR 1200 AMP K 4000,4.0,0.0,0.0,4.0
ISL98600DP0,ELECTRODO DURAMAX PMX PLASMA,62.0,0.0,0.0,62.0
ISL98600NNCC,ELECTRODO PLASMA 9-8215,99.0,0.0,0.0,99.0
ISLGRAFITO10,GRAFITO 3/8 x 12IN (10mm x 305mm),0.0,250.0,0.0,250.0
ISLGRAFITO65,GRAFITO 1/4 x 12IN (6.5mm x 305mm),0.0,500.0,0.0,500.0
RODILLOCHI00,RODILLO CHIPORRO ,0.0,50.0,0.0,50.0
SEHHGPSS1060,MALLA,1.0,0.0,0.0,1.0
SEPPINTIPE00,SERVICIO INSPECCION TINTAS PENETRANTES,0.0,5.0,0.0,5.0
SEQQBOSC1010,MANTENCION DE TALADRO CON BASE MACNETICA BOSCH,0.0,1.0,0.0,1.0
SEQQINTE2055,SOPORTE TIPO L,10.0,0.0,0.0,10.0
