Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,FI,FILTROS,H100FI00CO14,FILTRO 2 1/2COBRE PN 16 BSP,UN,1.0,0.0,0.0,0.0,1.0,46787.0,46787.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : FI,,,,,,nan,,,2.0,0.0,0.0,0.0,2.0,,60467.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,IN,INSTRUMENTOS DE MEDICION,H500IN000006,ESCUADRA 24in,UN,5.0,0.0,0.0,0.0,5.0,8089.24,40446.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,IN,INSTRUMENTOS DE MEDICION,H500IN000008,JUEGO TIZADOR,UN,2.0,0.0,0.0,0.0,2.0,6384.68,12769.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,IN,INSTRUMENTOS DE MEDICION,H500IN000009,LAPIZ PARA RAYAR METAL,UN,3.0,0.0,0.0,0.0,3.0,3206.58,9620.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,IN,INSTRUMENTOS DE MEDICION,H500IN25MLNN,MEDIDOR LASER ( RONIX DISTANCIA)/DISTANCIOMETRO ,UN,2.0,0.0,0.0,0.0,2.0,21745.0,43490.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : IN,,,,,,nan,,,12.0,0.0,0.0,0.0,12.0,,106325.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,KT,JUEGO/KIT/SET,H700KT000026,KIT SOPLETE CALENTADOR OXIGENO/GAS,KT,1.0,0.0,0.0,0.0,1.0,172350.0,172350.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,KT,JUEGO/KIT/SET,H700KT000027,KIT SOPLETE CALENTADOR GAS,KT,1.0,0.0,0.0,0.0,1.0,2150.0,2150.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,KT,JUEGO/KIT/SET,H700KTVOLK15,JUEGO DE MACHOS 1-1/2in - VOLKEL,UN,6.0,0.0,0.0,0.0,6.0,1000.0,6000.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : KT,,,,,,nan,,,8.0,0.0,0.0,0.0,8.0,,180500.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,LL,LLAVE,H700LL24IN28,LLAVE STILLSON 24in,UN,1.0,0.0,0.0,0.0,1.0,1000.0,1000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,LL,LLAVE,H700LLCU1T34,ADAPTADOR IMPACTO 1/2 X 3/4-CUADRANTE REDUCTOR,UN,4.0,0.0,0.0,0.0,4.0,4950.0,19800.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,LL,LLAVE,H700LLCU3T12,ADAPTADOR IMPACTO 3/4 X1/2-CUADRANTE REDUCTOR,UN,5.0,0.0,0.0,0.0,5.0,5500.0,27500.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : LL,,,,,,nan,,,10.0,0.0,0.0,0.0,10.0,,48300.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H500IN000004,ESCUADRA ACERO,UN,5.0,0.0,0.0,0.0,5.0,34797.0,173985.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H700MN000003, ENGRASADOR  MANUAL 15 KG,UN,1.0,0.0,0.0,0.0,1.0,6214.29,6214.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H700MN000048,DADO 32 MM,UN,1.0,0.0,0.0,0.0,1.0,2540.0,2540.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H700MN000049,DADO 22 MM,UN,7.0,0.0,0.0,0.0,7.0,1630.0,11410.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H700MN000059,DADO 15/16,UN,1.0,0.0,0.0,0.0,1.0,2650.0,2650.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H700MNN00030, ENGRASADOR  MANUAL 300 GR/ACEITADORA,UN,3.0,0.0,0.0,0.0,3.0,1095.0,3285.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MN,HERRAMIENTA MANUAL,H700MNN00050, ENGRASADOR  MANUAL 500 GR/ACEITADORA,UN,3.0,0.0,0.0,0.0,3.0,2250.0,6750.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : MN,,,,,,nan,,,21.0,0.0,0.0,0.0,21.0,,206834.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MP,IMPACTO,H700MP000002,MARTILLO CARPINTERO,UN,4.0,0.0,0.0,0.0,4.0,31.8,127.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MP,IMPACTO,H700MP000003,MARTILLO PEÑA,UN,1.0,0.0,0.0,0.0,1.0,7084.03,7084.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : MP,,,,,,nan,,,5.0,0.0,0.0,0.0,5.0,,7211.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MQ,MAQUINARIA,H400MQ000023,PORTA POWER,UN,1.0,0.0,0.0,0.0,1.0,249774.0,249774.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MQ,MAQUINARIA,H400MQ000033,CIZALLA UNIVERSAL,UN,1.0,0.0,0.0,0.0,1.0,19864.0,19864.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,MQ,MAQUINARIA,H400MQ000046,UNIDAD HIDRAULICA,UN,2.0,0.0,0.0,0.0,2.0,40000.0,80000.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : MQ,,,,,,nan,,,4.0,0.0,0.0,0.0,4.0,,349638.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OT000011,CAJA  PORTA HERRAMIENTAS,UN,1.0,0.0,0.0,0.0,1.0,208898.92,208899.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTGO3M76,CINTA AUTOFUNDENTE DE GOMA 3M,UN,5.0,0.0,0.0,0.0,5.0,5398.67,26993.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTHALO02,FOCO HALOG. C/ATRIL DOBLE 500W,UN,7.0,0.0,0.0,0.0,7.0,46047.5,322332.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTHERR83,BOLSO PORTA HERRAMIENTAS,UN,2.0,0.0,0.0,0.0,2.0,35500.0,71000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTLIJA83,LIJA AGUA,UN,230.0,0.0,0.0,0.0,230.0,500.0,115000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTPLA104,PLATACHO MADERA,UN,2.0,0.0,0.0,0.0,2.0,8596.64,17193.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTPLNN50,PALANQUETA 18IN/PATA CABRA-DIABLO,UN,2.0,0.0,0.0,0.0,2.0,3249.0,6498.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800OTSU3M75,CINTA AISLADORA ELECTRICA 3M,UN,9.0,0.0,0.0,0.0,9.0,1891.3,17022.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,OT,OTROS,H800RIELDUCA,RIEL DUCASSE COLG U 100 I 300 3 MTS,UN,4.0,0.0,0.0,0.0,4.0,18974.8,75899.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : OT,,,,,,nan,,,262.0,0.0,0.0,0.0,262.0,,860837.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RM000043,VALVULA ANTIRRETROCESO REGULADOR GAS,UN,3.0,0.0,0.0,0.0,3.0,9545.0,28635.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RM000044,VALVULA ANTIRRETROCESO REGULADOR OXIGENO,UN,2.0,0.0,0.0,0.0,2.0,9545.0,19090.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RM070003,JUEGO DE CARBONES ESMERIL ANGULAR 7-DEWALT,PR,12.0,0.0,0.0,0.0,12.0,9984.55,119815.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RM4M0002,JUEGO DE CARBONES ESMERIL ANGULAR 4 1/2 - DEWALT,PR,12.0,0.0,0.0,0.0,12.0,9184.6,110215.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RM721808,JUEGO CARBONES B-218 ESMERIL 7 - MAKITA,PR,3.0,0.0,0.0,0.0,3.0,7850.0,23550.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RMCIMT24,TORCHA (PISTOLA) MIG TW400 4.5 METROS,UN,2.0,0.0,0.0,0.0,2.0,252892.0,505784.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RMLIND49,DEPOSITO PLASTICO CODIGO 0009802609,UN,2.0,0.0,0.0,0.0,2.0,100228.0,200456.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RMNN0047,ADAPTADOR MANDRIL UNF 1/2-20 X 3/4,UN,4.0,0.0,0.0,0.0,4.0,2680.0,10720.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RMSOLT38,PINZA TOMA TIERRA 500 AMP,UN,5.0,0.0,0.0,0.0,5.0,12078.45,60392.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RMTORC43,JUEGO DE CARBONES MAQUINA TORCH,KT,300.0,0.0,0.0,0.0,300.0,365.0,109500.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RM,REPUESTOS MAQUINARIA,H300RPCIMT19,TORCHA TIG WP17V DUAL 4 MT,UN,499.0,0.0,0.0,0.0,499.0,1000.0,499000.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : RM,,,,,,nan,,,844.0,0.0,0.0,0.0,844.0,,1687157.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RP,REPUESTO VEHICULO,H100RP000005,MOTOR,UN,3.0,0.0,0.0,0.0,3.0,1806900.0,5420700.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,RP,REPUESTO VEHICULO,H100RP000028, SEPARADOR DE RUEDA PARA GRUA HORQUILLA,UN,60.0,0.0,0.0,0.0,60.0,7351.0,441060.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : RP,,,,,,nan,,,63.0,0.0,0.0,0.0,63.0,,5861760.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 127,,,,,,nan,,,1306.0,0.0,0.0,0.0,1306.0,,11784952.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,135,CABLES EN GENERAL,EL,ELECTRICO,IEL040383204,ENCHUFE HEMBRA IND. S/P 380 V  32A 3P+T,UN,3.0,0.0,0.0,0.0,3.0,3546.0,10638.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : EL,,,,,,nan,,,3.0,0.0,0.0,0.0,3.0,,10638.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 135,,,,,,nan,,,3.0,0.0,0.0,0.0,3.0,,10638.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,137,COMPUTACION,AO,ARTICULOS DE OFICINA,IAO0102MPAIN,PLUMON PAINT OLEO MEDIO 2MM AMARILLO,UN,13.0,0.0,0.0,0.0,13.0,1840.21,23923.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,137,COMPUTACION,AO,ARTICULOS DE OFICINA,IAO030BORPIZ,BORRADOR PIZARRA,UN,6.0,0.0,0.0,0.0,6.0,635.0,3810.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,137,COMPUTACION,AO,ARTICULOS DE OFICINA,IAO3200AAA00,PILA TRIPLE AAA,UN,7.0,0.0,0.0,0.0,7.0,871.88,6103.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,137,COMPUTACION,AO,ARTICULOS DE OFICINA,IAO350NNNN11,PLUMON MARCADOR PARA CD NEGRO,UN,4.0,0.0,0.0,0.0,4.0,368.0,1472.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AO,,,,,,nan,,,30.0,0.0,0.0,0.0,30.0,,35308.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,137,COMPUTACION,CP,COMPUTACION,ICP14700NN02,Memoria RAM,UN,2.0,0.0,0.0,0.0,2.0,4781.5,9563.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : CP,,,,,,nan,,,2.0,0.0,0.0,0.0,2.0,,9563.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 137,,,,,,nan,,,32.0,0.0,0.0,0.0,32.0,,44871.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB11007SS00,DISCO DE CORTE FINO  07in   ESPESOR 1.6 MM,UN,23.0,0.0,0.0,0.0,23.0,869.59,20001.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB12007SS00,DISCO CORTE NORMAL 07in ESPESOR 03MM,UN,55.0,0.0,0.0,0.0,55.0,1187.75,65326.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB13007SS00,DISCO DESBASTE 07in,UN,52.0,0.0,0.0,0.0,52.0,1605.83,83503.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB1304MSS00,DISCO DESBASTE 04 1/2in,UN,1.0,0.0,0.0,0.0,1.0,839.04,839.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB1404MHIHL,GRATA HISOPO  INOXIDABLE 26 MM,UN,8.0,0.0,0.0,0.0,8.0,2980.62,23845.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB1404MSSFA,GRATA PLANA TRENZADA  ACERO INOXIDABLE 4 1/2,UN,2.0,0.0,0.0,0.0,2.0,5400.0,10800.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB1404MSSHL,GRATA COPA  ONDULADA INOXIDABLE 4 1/2,UN,2.0,0.0,0.0,0.0,2.0,8564.28,17129.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB14207CRKL,DISCO DE LIJA PARA METAL (CUBITRON) 7IN,UN,9.0,0.0,0.0,0.0,9.0,3527.85,31751.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB1500CSCBH,LIMA ROTATIVA CILINDRICA 1/4 PLG (06MM),UN,7.0,0.0,0.0,0.0,7.0,14468.85,101282.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB15012SCBH,LIMA ROTATIVA CILINDRICA 1/2 PLG (12MM),UN,6.0,0.0,0.0,0.0,6.0,23406.89,140441.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB15040SC00,LIJA ROTATIVA CILINDRICA 1 1/2 PLG (40MM) GR60,UN,6.0,0.0,0.0,0.0,6.0,3631.98,21792.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB18007SS00,DISCO ZIRCONIO 7 in G80,UN,18.0,0.0,0.0,0.0,18.0,2599.76,46796.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,138,CORTES,AB,ABRASIVOS,IAB210MD0000,PLIEGO DE LIJA MADERA,UN,29.0,0.0,0.0,0.0,29.0,440.0,12760.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AB,,,,,,nan,,,218.0,0.0,0.0,0.0,218.0,,576263.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 138,,,,,,nan,,,218.0,0.0,0.0,0.0,218.0,,576263.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,144,SEGURIDAD,AL,CAIDA ALTURA,E200AL000009,ANCLAJE DE CABLE SUSPENDIDO,UN,3.0,0.0,0.0,0.0,3.0,19675.0,59025.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AL,,,,,,nan,,,3.0,0.0,0.0,0.0,3.0,,59025.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,144,SEGURIDAD,AN,ANTIPARRA,E100ANVISO06,VISOR 8X16 CLARO BORDE ALUMINIO,UN,268.0,0.0,0.0,0.0,268.0,2650.0,710200.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AN,,,,,,nan,,,268.0,0.0,0.0,0.0,268.0,,710200.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,144,SEGURIDAD,CA,CASCO,E100CAPROT03,CASCO BLANCO PROSEG,UN,2.0,0.0,0.0,0.0,2.0,1283.0,2566.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : CA,,,,,,nan,,,2.0,0.0,0.0,0.0,2.0,,2566.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,144,SEGURIDAD,PO,POLERA,E400PO000004,POLERA PIQUE M/LARGA AZUL VARON,UN,2.0,0.0,0.0,0.0,2.0,7227.5,14455.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,144,SEGURIDAD,PO,POLERA,E400PO000009,POLERA PIQUE M/CORTA DAMA,UN,2.0,0.0,0.0,0.0,2.0,4100.0,8200.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : PO,,,,,,nan,,,4.0,0.0,0.0,0.0,4.0,,22655.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,144,SEGURIDAD,PX,PRIMEROS AUXILIOS,E500PX003M02,BOTIQUIN PRIMEROS AUXILIOS,UN,1.0,0.0,0.0,0.0,1.0,19707.0,19707.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : PX,,,,,,nan,,,1.0,0.0,0.0,0.0,1.0,,19707.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 144,,,,,,nan,,,278.0,0.0,0.0,0.0,278.0,,814153.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,A,AC. INOXIDABLES,,,A316LFT0EZFJ,ASPERSOR FLAT JET NOZ ST.STL  COD:3/8P-SS5025,UN,29.0,0.0,0.0,0.0,29.0,20000.0,580000.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : Sin Sub Grupo,,,,,,nan,,,29.0,0.0,0.0,0.0,29.0,,580000.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,A,AC. INOXIDABLES,ES,ESPARRAGO,A316LES0QS00,ESPARRAGO 316L 3/4in,,66.0,0.0,0.0,0.0,66.0,15932.0,1051512.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : ES,,,,,,nan,,,66.0,0.0,0.0,0.0,66.0,,1051512.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : A,,,,,,nan,,,95.0,0.0,0.0,0.0,95.0,,1631512.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,B,ALE NO FERRICOS,BR,BARRA,BCOBRBR01X00,BARRA COBRE  Ø 1  x 3 mts,UN,1.0,0.0,0.0,0.0,1.0,215300.0,215300.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,B,ALE NO FERRICOS,BR,BARRA,BCOBRBR25XOO,BARRA DE COBRE REDONDA 25 MM,MT,3.0,0.0,0.0,0.0,3.0,52667.0,158001.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,B,ALE NO FERRICOS,BR,BARRA,BCOBRBR25YOO,BARRA DE COBRE CUADRADA  25 MM,MT,1.0,0.0,0.0,0.0,1.0,60990.0,60990.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : BR,,,,,,nan,,,5.0,0.0,0.0,0.0,5.0,,434291.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,B,ALE NO FERRICOS,PL,PLANCHA,BZINCPL05S00,PANEL CN-4 0.5 X 1000 X 6000,UN,2.0,0.0,0.0,0.0,2.0,15265800.0,30531600.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : PL,,,,,,nan,,,2.0,0.0,0.0,0.0,2.0,,30531600.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : B,,,,,,nan,,,7.0,0.0,0.0,0.0,7.0,,30965891.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,C,AC. CARBONO,ES,ESPARRAGO,CAZINES0QS34,ESPARRAGO 3/4 ZINCADO ,MT,66.0,0.0,0.0,0.0,66.0,3825.0,252450.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : ES,,,,,,nan,,,66.0,0.0,0.0,0.0,66.0,,252450.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,C,AC. CARBONO,GO,GOLILLA,CA036GO0MZ02,GOLILLA PLANA DE 2 in,UN,116.0,0.0,0.0,0.0,116.0,3000.0,348000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,C,AC. CARBONO,GO,GOLILLA,CF436GOSQS01,GOLILLA PLANA F-436 1,UN,20.0,0.0,0.0,0.0,20.0,196.0,3920.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : GO,,,,,,nan,,,136.0,0.0,0.0,0.0,136.0,,351920.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,C,AC. CARBONO,PE,PERNO,CA036PE0QX10,PERNO ANCLAJE  3/4 X 10'',UN,38.0,0.0,0.0,0.0,38.0,3495.0,132810.0,SM_STOCK CASA MATRIZ.xlsx
