Semana,Periodo_Inicio,Periodo_Fin,HH_Semana,HH_Acumulado,Pct_Acumulado
W6,2026-02-02,2026-02-08,216,216,2.7
W7,2026-02-09,2026-02-15,315,531,6.6
W8,2026-02-16,2026-02-22,603,1134,14.0
W9,2026-02-23,2026-03-01,1161,2295,28.3
W10,2026-03-02,2026-03-08,1476,3771,46.6
W11,2026-03-09,2026-03-15,1512,5283,65.2
W12,2026-03-16,2026-03-22,1467,6750,83.3
W13,2026-03-23,2026-03-29,963,7713,95.2
W14,2026-03-30,2026-04-05,351,8064,99.6
W15,2026-04-06,2026-04-06,36,8100,100.0
